fraud_event_id,transaction_id,fraud_type,detection_method,fraud_risk_score,ground_truth_status,estimated_loss_inr,detected_ts,primary_reason
FE0000142,TXN000008158,CARD_NOT_PRESENT,ML,88.0,Confirmed Fraud,247.63,2026-07-12 00:41:40,Mule network
FE0000143,TXN000008192,CARD_TESTING,Rule,40.1,False Positive,18.25,2026-04-09 20:56:27,Geographic anomaly
FE0000144,TXN000008196,ATM_CASHOUT,Hybrid,54.0,Under Review,263328.7,2026-06-20 15:12:57,Amount deviation
FE0000145,TXN000008220,VELOCITY_ABUSE,ML,50.0,Confirmed Fraud,301.17,2026-03-15 08:22:38,Mule network
FE0000146,TXN000008337,MULE_TRANSFER,ML,56.0,False Positive,92653.34,2026-07-19 06:21:14,Mule network
FE0000147,TXN000008431,MERCHANT_COLLUSION,Hybrid,72.0,Confirmed Fraud,69466.62,2026-06-28 00:21:40,Geographic anomaly
FE0000148,TXN000008445,MERCHANT_COLLUSION,ML,50.0,Confirmed Fraud,120116.22,2026-05-31 06:07:07,Merchant anomaly
FE0000149,TXN000008485,ATM_CASHOUT,Hybrid,76.0,Under Review,164943.09,2026-02-24 07:56:36,Amount deviation
FE0000150,TXN000008497,VELOCITY_ABUSE,Hybrid,39.8,Confirmed Fraud,300.2,2026-07-18 13:16:54,Device anomaly
FE0000151,TXN000008568,MULE_TRANSFER,ML,74.0,Confirmed Fraud,284482.69,2026-04-17 00:54:53,Amount deviation
FE0000152,TXN000008683,MULE_TRANSFER,ML,54.0,Confirmed Fraud,270681.94,2026-04-27 10:29:25,Mule network
FE0000153,TXN000008714,ACCOUNT_TAKEOVER,Hybrid,92.3,False Positive,426355.19,2026-03-06 07:12:30,High velocity
FE0000154,TXN000008720,VELOCITY_ABUSE,Rule,50.2,Under Review,405.93,2026-07-14 21:20:34,Device anomaly
FE0000155,TXN000008726,MULE_TRANSFER,ML,48.0,Under Review,200980.15,2026-05-18 07:30:52,Geographic anomaly
FE0000156,TXN000008770,CARD_NOT_PRESENT,Rule,78.2,Confirmed Fraud,785.45,2026-06-23 19:24:38,Merchant anomaly
FE0000157,TXN000008775,MERCHANT_COLLUSION,Rule,74.0,Confirmed Fraud,51001.03,2026-03-08 08:44:40,Amount deviation
FE0000158,TXN000008798,IMPOSSIBLE_TRAVEL,Rule,85.1,False Positive,1335950.06,2026-02-25 09:37:24,Merchant anomaly
FE0000159,TXN000008831,ATM_CASHOUT,Hybrid,70.0,Under Review,140953.27,2026-05-03 15:36:16,Geographic anomaly
FE0000160,TXN000008833,ACCOUNT_TAKEOVER,ML,99,False Positive,276021.89,2026-07-13 12:12:16,Merchant anomaly
FE0000161,TXN000008834,CARD_TESTING,Rule,48.2,Confirmed Fraud,101.6,2026-06-27 19:18:25,Mule network
FE0000162,TXN000008908,ACCOUNT_TAKEOVER,ML,79.3,Confirmed Fraud,155084.19,2026-03-01 13:46:10,Device anomaly
FE0000163,TXN000008909,ATM_CASHOUT,Rule,48.0,False Positive,124041.14,2026-06-21 06:08:57,High velocity
FE0000164,TXN000009029,VELOCITY_ABUSE,Rule,64.5,Confirmed Fraud,557.66,2026-05-08 11:36:04,Geographic anomaly
FE0000165,TXN000009044,VELOCITY_ABUSE,ML,69.6,Under Review,493.62,2026-03-15 20:32:15,High velocity
FE0000166,TXN000009080,ACCOUNT_TAKEOVER,ML,99,Confirmed Fraud,294004.44,2026-06-17 01:00:04,Merchant anomaly
FE0000167,TXN000009117,MULE_TRANSFER,ML,50.0,False Positive,39562.5,2026-05-19 23:19:18,Device anomaly
FE0000168,TXN000009124,IMPOSSIBLE_TRAVEL,Rule,34.3,Confirmed Fraud,187.48,2026-06-15 05:26:55,Amount deviation
FE0000169,TXN000009197,VELOCITY_ABUSE,ML,62.8,Under Review,312.41,2026-02-01 09:49:39,Amount deviation
FE0000170,TXN000009279,CARD_NOT_PRESENT,Hybrid,83.3,Under Review,7565.04,2026-07-08 16:52:59,Amount deviation
FE0000171,TXN000009304,MERCHANT_COLLUSION,Hybrid,54.0,Confirmed Fraud,49091.04,2026-07-25 20:16:29,Geographic anomaly
FE0000172,TXN000009377,CARD_NOT_PRESENT,Rule,99,False Positive,3139.89,2026-07-16 01:21:04,Geographic anomaly
FE0000173,TXN000009400,MERCHANT_COLLUSION,ML,74.0,Confirmed Fraud,41862.0,2026-06-20 04:52:19,Device anomaly
FE0000174,TXN000009458,MULE_TRANSFER,Hybrid,48.0,Confirmed Fraud,230615.14,2026-05-08 09:06:49,High velocity
FE0000175,TXN000009487,ATM_CASHOUT,Hybrid,72.0,False Positive,436743.13,2026-03-11 15:15:51,Mule network
FE0000176,TXN000009507,IMPOSSIBLE_TRAVEL,ML,68.7,Confirmed Fraud,160.33,2026-06-27 20:51:26,Amount deviation
FE0000177,TXN000009560,CARD_NOT_PRESENT,ML,79.5,Confirmed Fraud,4236.73,2026-06-26 16:25:40,Amount deviation
FE0000178,TXN000009615,ATM_CASHOUT,Hybrid,72.0,Confirmed Fraud,156028.09,2026-07-21 11:58:14,Mule network
FE0000179,TXN000009712,MERCHANT_COLLUSION,Rule,48.0,False Positive,95168.18,2026-07-11 12:11:35,Amount deviation
FE0000180,TXN000009817,MULE_TRANSFER,Rule,76.0,False Positive,333988.49,2026-07-30 11:19:50,High velocity
FE0000181,TXN000009958,CARD_TESTING,Rule,68.1,False Positive,88.57,2026-07-02 17:16:36,Geographic anomaly
FE0000182,TXN000009991,VELOCITY_ABUSE,Rule,46.5,Under Review,4226.65,2026-07-27 05:31:18,Merchant anomaly
FE0000183,TXN000010238,VELOCITY_ABUSE,Hybrid,78.0,False Positive,1144.18,2026-05-12 02:18:50,Amount deviation
FE0000184,TXN000010282,MERCHANT_COLLUSION,Rule,48.0,Confirmed Fraud,161816.34,2026-04-13 16:49:02,Merchant anomaly
FE0000185,TXN000010311,ACCOUNT_TAKEOVER,Hybrid,89.4,False Positive,275658.85,2026-04-09 11:05:33,Amount deviation
FE0000186,TXN000010487,IMPOSSIBLE_TRAVEL,ML,84.1,Confirmed Fraud,3857.58,2026-06-08 21:11:43,High velocity
FE0000187,TXN000010531,ACCOUNT_TAKEOVER,ML,83.7,Under Review,165222.64,2026-04-17 13:56:29,Geographic anomaly
FE0000188,TXN000010561,CARD_TESTING,Hybrid,42.4,Under Review,28.58,2026-02-02 22:49:41,Geographic anomaly
FE0000189,TXN000010597,CARD_NOT_PRESENT,ML,72.5,False Positive,437.28,2026-07-05 08:00:12,Geographic anomaly
FE0000190,TXN000010624,CARD_TESTING,ML,43.0,Confirmed Fraud,107.79,2026-03-17 16:42:07,Mule network
FE0000191,TXN000010659,IMPOSSIBLE_TRAVEL,ML,57.6,Confirmed Fraud,803.65,2026-05-15 08:23:41,Geographic anomaly
FE0000192,TXN000010706,CARD_NOT_PRESENT,Rule,80.8,Confirmed Fraud,468.43,2026-07-23 09:33:01,Geographic anomaly
FE0000193,TXN000010739,MULE_TRANSFER,Rule,48.0,Confirmed Fraud,158254.97,2026-03-12 05:35:54,Amount deviation
FE0000194,TXN000010757,CARD_TESTING,Rule,64.5,False Positive,78.61,2026-07-25 22:37:12,Device anomaly
FE0000195,TXN000010847,CARD_TESTING,Hybrid,49.4,Confirmed Fraud,57.86,2026-05-29 09:11:22,High velocity
FE0000196,TXN000010904,VELOCITY_ABUSE,Rule,53.1,False Positive,628.72,2026-03-17 21:11:29,Merchant anomaly
FE0000197,TXN000010936,ACCOUNT_TAKEOVER,Hybrid,95.8,Under Review,111803.64,2026-05-21 22:45:34,Mule network
FE0000198,TXN000010945,ACCOUNT_TAKEOVER,ML,95.6,Under Review,189127.14,2026-02-16 14:03:45,Geographic anomaly
FE0000199,TXN000011253,ATM_CASHOUT,Rule,56.0,Under Review,313338.21,2026-07-18 07:23:34,Geographic anomaly
FE0000200,TXN000011254,CARD_NOT_PRESENT,Hybrid,99,False Positive,9586.31,2026-07-26 02:20:39,Geographic anomaly
FE0000201,TXN000011351,ACCOUNT_TAKEOVER,Rule,83.7,Confirmed Fraud,131224.18,2026-03-23 18:01:08,Mule network
FE0000202,TXN000011363,VELOCITY_ABUSE,Rule,62.8,False Positive,603.18,2026-03-21 07:38:38,Geographic anomaly
FE0000203,TXN000011376,MERCHANT_COLLUSION,Hybrid,70.0,Confirmed Fraud,91992.14,2026-03-29 11:25:55,Merchant anomaly
FE0000204,TXN000011391,MULE_TRANSFER,Rule,72.0,False Positive,453946.81,2026-07-21 02:59:25,Mule network
FE0000205,TXN000011442,ATM_CASHOUT,Rule,50.0,Confirmed Fraud,184916.07,2026-06-22 23:51:00,Geographic anomaly
FE0000206,TXN000011534,VELOCITY_ABUSE,Hybrid,70.0,Confirmed Fraud,2825.6,2026-07-21 04:38:51,Amount deviation
FE0000207,TXN000011565,VELOCITY_ABUSE,ML,74.5,Under Review,67.78,2026-03-06 20:06:39,Amount deviation
FE0000208,TXN000011580,ACCOUNT_TAKEOVER,Rule,89.3,False Positive,37634.47,2026-07-01 13:49:43,Merchant anomaly
