transaction_id,transaction_ts,customer_id,account_id,channel,transaction_type,amount_inr,currency,merchant_id,merchant_category,city,state,latitude,longitude,device_id,device_trust_status,ip_address,txn_count_1h,unusual_hour_flag,distance_from_home_km,amount_deviation_score,fraud_risk_score,decision,transaction_status,is_fraud,fraud_type,rrn
TXN000023713,2026-02-01 01:04:12,CUST000115,ACC00000115,ATM,Debit,2682.13,INR,CASH,Cash Withdrawal,Kolkata,West Bengal,22.5527,88.33615,DEV00011501,Known,172.213.94.228,2,1,0,0.411,36.3,APPROVE,SUCCESS,0,NONE,RRN78673556350
TXN000047132,2026-02-01 01:04:44,CUST001975,ACC00001975,RTGS,Debit,891763.12,INR,MER00261,E-commerce,Kochi,Kerala,9.94577,76.27635,DEV00197501,Trusted,172.132.188.135,3,1,0,190.244,49.1,APPROVE,SUCCESS,0,NONE,RRN75882360018
TXN000046947,2026-02-01 01:20:10,CUST001450,ACC00001450,Mobile Banking,Debit,1495.65,INR,MER00029,Grocery,Ahmedabad,Gujarat,23.00266,72.55677,DEV00145001,Trusted,172.197.187.217,4,1,0,0.675,37.6,APPROVE,SUCCESS,0,NONE,RRN95970237004
TXN000011457,2026-02-01 01:20:59,CUST001281,ACC00001281,Internet Banking,Debit,1355.06,INR,MER00191,Fuel,Ahmedabad,Gujarat,22.99388,72.54899,DEV00128102,Trusted,172.207.45.224,2,1,0,0.962,35.9,APPROVE,SUCCESS,0,NONE,RRN93163838362
TXN000049288,2026-02-01 01:22:35,CUST000268,ACC00000268,ATM,Debit,5188.23,INR,CASH,Cash Withdrawal,Mumbai,Maharashtra,19.0796,72.88496,DEV00026801,Trusted,172.38.197.2,0,1,0,25.472,49.5,APPROVE,SUCCESS,0,NONE,RRN56012524909
TXN000033334,2026-02-01 01:27:25,CUST000330,ACC00000330,Internet Banking,Debit,1632.67,INR,MER00424,Restaurants,Delhi,Delhi,28.62386,77.19564,DEV00033003,Trusted,172.84.133.206,4,1,0,0.146,34.3,APPROVE,SUCCESS,0,NONE,RRN68378477095
TXN000002529,2026-02-01 01:28:35,CUST001677,ACC00001677,ATM,Debit,15110.59,INR,CASH,Cash Withdrawal,Hyderabad,Telangana,17.37761,78.50906,DEV00167701,Known,172.29.10.198,0,1,0,31.863,45.0,APPROVE,SUCCESS,0,NONE,RRN81897777396
TXN000005621,2026-02-01 01:29:52,CUST001824,ACC00001824,Mobile Banking,Debit,20640.61,INR,MER00258,Travel,Ahmedabad,Gujarat,22.99708,72.55304,DEV00182401,Known,172.121.22.2,1,1,0,19.189,46.4,APPROVE,SUCCESS,0,NONE,RRN60591726367
TXN000024386,2026-02-01 01:33:49,CUST000473,ACC00000473,POS,Debit,357.39,INR,MER00493,Grocery,Ahmedabad,Gujarat,23.05007,72.59596,DEV00047301,New,172.136.97.77,0,1,1040,0.09,79.9,CHALLENGE,SUCCESS,1,IMPOSSIBLE_TRAVEL,RRN50239535304
TXN000006055,2026-02-01 01:34:18,CUST001098,ACC00001098,RTGS,Debit,592802.07,INR,MER00081,Grocery,Hyderabad,Telangana,17.38111,78.4827,DEV00109802,Trusted,172.55.24.170,1,1,0,148.578,46.4,APPROVE,SUCCESS,0,NONE,RRN54030619867
TXN000049020,2026-02-01 01:38:36,CUST000450,ACC00000450,Internet Banking,Debit,2184.32,INR,MER00232,Utilities,Mumbai,Maharashtra,19.10487,72.85704,DEV00045001,New,172.20.196.252,2,1,0,1.251,66.0,CHALLENGE,SUCCESS,0,NONE,RRN66741612163
TXN000025732,2026-02-01 01:52:26,CUST001393,ACC00001393,UPI,Debit,2208.0,INR,MER00428,E-commerce,Hyderabad,Telangana,17.37521,78.50628,DEV00139302,Trusted,172.232.102.37,3,1,0,3.109,51.4,APPROVE,SUCCESS,0,NONE,RRN43350892528
TXN000037303,2026-02-01 01:58:37,CUST001460,ACC00001460,Internet Banking,Debit,2162.84,INR,MER00463,Restaurants,Kolkata,West Bengal,22.60179,88.34553,DEV00146002,New,172.53.149.10,1,1,0,0.43,54.7,APPROVE,SUCCESS,0,NONE,RRN45223085671
TXN000022976,2026-02-01 02:04:24,CUST001490,ACC00001490,Internet Banking,Debit,1603.17,INR,MER00400,Restaurants,Kolkata,West Bengal,22.5794,88.39261,DEV00149001,Trusted,172.226.91.202,2,1,0,1.422,43.4,APPROVE,SUCCESS,0,NONE,RRN55743158032
TXN000014858,2026-02-01 02:06:05,CUST001226,ACC00001226,UPI,Debit,5887.48,INR,MER00409,Utilities,Bengaluru,Karnataka,12.96159,77.57145,DEV00122602,Trusted,172.108.59.174,3,1,0,14.173,53.6,APPROVE,SUCCESS,0,NONE,RRN34509512703
TXN000013618,2026-02-01 02:08:38,CUST001406,ACC00001406,NEFT,Debit,5120.38,INR,MER00124,Restaurants,Mumbai,Maharashtra,19.06076,72.86492,DEV00140601,Trusted,172.118.54.157,4,1,0,0.58,38.3,APPROVE,FAILED,0,NONE,RRN78966411465
TXN000030211,2026-02-01 02:09:01,CUST001195,ACC00001195,Mobile Banking,Debit,808.45,INR,MER00302,Utilities,Hyderabad,Telangana,17.40036,78.46139,DEV00119502,Known,172.211.120.40,2,1,0,0.5,34.3,APPROVE,SUCCESS,0,NONE,RRN85708575254
TXN000049660,2026-02-01 02:17:11,CUST001363,ACC00001363,UPI,Debit,865.69,INR,MER00286,E-commerce,Chennai,Tamil Nadu,13.09056,80.24639,DEV00136302,Trusted,172.160.198.183,4,1,0,0.529,42.0,APPROVE,SUCCESS,0,NONE,RRN20063106704
TXN000019406,2026-02-01 02:20:42,CUST001664,ACC00001664,UPI,Debit,2378.61,INR,MER00172,Utilities,Kochi,Kerala,9.92401,76.28787,DEV00166401,Trusted,172.156.77.75,3,1,0,1.965,52.5,APPROVE,SUCCESS,0,NONE,RRN33818048105
TXN000037929,2026-02-01 02:22:52,CUST000584,ACC00000584,POS,Debit,8621.48,INR,MER00430,Utilities,Mumbai,Maharashtra,19.09713,72.90748,DEV00058401,Trusted,172.179.151.93,2,1,0,8.694,45.5,APPROVE,SUCCESS,0,NONE,RRN65003071021
TXN000003652,2026-02-01 02:23:29,CUST000415,ACC00000415,Mobile Banking,Debit,1197.22,INR,MER00092,Restaurants,Pune,Maharashtra,18.49953,73.82762,DEV00041502,New,172.152.14.113,4,1,0,0.281,59.0,APPROVE,SUCCESS,0,NONE,RRN32578214210
TXN000025611,2026-02-01 02:53:42,CUST000744,ACC00000744,ATM,Debit,3768.66,INR,CASH,Cash Withdrawal,Hyderabad,Telangana,17.35669,78.51119,DEV00074401,Known,172.111.102.148,1,1,0,0.992,42.3,APPROVE,SUCCESS,0,NONE,RRN26775169222
TXN000042761,2026-02-01 03:01:54,CUST001364,ACC00001364,Mobile Banking,Debit,3975.6,INR,MER00119,Electronics,Mumbai,Maharashtra,19.10546,72.90095,DEV00136401,New,172.11.171.196,3,1,0,1.307,63.6,APPROVE,SUCCESS,0,NONE,RRN21426494627
TXN000021278,2026-02-01 03:05:02,CUST001277,ACC00001277,NEFT,Debit,3298.08,INR,MER00049,Electronics,Kochi,Kerala,9.93474,76.2854,DEV00127702,Known,172.28.85.67,3,1,0,2.317,55.1,APPROVE,SUCCESS,0,NONE,RRN98262519718
TXN000027458,2026-02-01 03:07:53,CUST001098,ACC00001098,ATM,Debit,2397.46,INR,CASH,Cash Withdrawal,Hyderabad,Telangana,17.41103,78.50694,DEV00109801,Trusted,172.208.109.37,0,1,0,0.601,29.6,APPROVE,SUCCESS,0,NONE,RRN14335580111
TXN000001350,2026-02-01 03:08:11,CUST001239,ACC00001239,UPI,Debit,1174.65,INR,MER00386,Fuel,Bengaluru,Karnataka,12.98736,77.58033,DEV00123901,Known,172.100.5.106,2,1,0,1.412,48.8,APPROVE,SUCCESS,0,NONE,RRN41377605671
TXN000015943,2026-02-01 03:11:01,CUST001851,ACC00001851,Internet Banking,Debit,1605.7,INR,MER00311,Travel,Chennai,Tamil Nadu,13.07133,80.29207,DEV00185101,Trusted,172.193.63.11,0,1,0,8.305,48.4,APPROVE,SUCCESS,0,NONE,RRN78532728575
TXN000039560,2026-02-01 03:11:57,CUST001426,ACC00001426,Mobile Banking,Debit,3291.81,INR,MER00397,Electronics,Chennai,Tamil Nadu,13.05777,80.29006,DEV00142601,Trusted,172.60.158.177,4,1,0,0.877,39.3,APPROVE,SUCCESS,0,NONE,RRN94986578411
TXN000040631,2026-02-01 03:16:11,CUST000650,ACC00000650,Mobile Banking,Debit,577.45,INR,MER00137,Grocery,Delhi,Delhi,28.63939,77.19117,DEV00065001,Trusted,172.131.162.17,0,1,0,1.008,36.2,APPROVE,SUCCESS,0,NONE,RRN28754093369
TXN000049391,2026-02-01 03:26:28,CUST000134,ACC00000134,ATM,Debit,2220.28,INR,CASH,Cash Withdrawal,Hyderabad,Telangana,17.37272,78.46033,DEV00013403,New,172.141.197.87,1,1,0,0.5,56.4,APPROVE,SUCCESS,0,NONE,RRN52727986916
TXN000014566,2026-02-01 03:27:08,CUST000343,ACC00000343,UPI,Debit,606.42,INR,MER00195,Restaurants,Delhi,Delhi,28.63877,77.19941,DEV00034301,Known,172.66.58.128,0,1,0,0.252,25.5,APPROVE,SUCCESS,0,NONE,RRN41444956065
TXN000010273,2026-02-01 03:27:24,CUST001556,ACC00001556,Branch,Debit,3698.17,INR,MER00005,Grocery,Pune,Maharashtra,18.5311,73.88667,DEV00155601,New,172.23.41.244,4,1,0,0.995,59.0,APPROVE,SUCCESS,0,NONE,RRN36998504332
TXN000036977,2026-02-01 03:28:34,CUST001724,ACC00001724,ATM,Debit,13900.54,INR,CASH,Cash Withdrawal,Hyderabad,Telangana,17.36002,78.50665,DEV00172401,Trusted,172.227.147.17,1,1,0,4.93,44.6,APPROVE,SUCCESS,0,NONE,RRN65507367919
TXN000021178,2026-02-01 03:30:12,CUST001916,ACC00001916,RTGS,Debit,1082254.73,INR,MER00341,Travel,Chennai,Tamil Nadu,13.08481,80.2958,DEV00191601,Trusted,172.178.84.109,2,1,0,152.477,47.5,APPROVE,SUCCESS,0,NONE,RRN42195854760
TXN000024007,2026-02-01 03:31:15,CUST001455,ACC00001455,Internet Banking,Debit,1083.25,INR,MER00442,Grocery,Chennai,Tamil Nadu,13.06386,80.25428,DEV00145501,Trusted,172.7.96.129,4,1,0,2.378,54.0,APPROVE,SUCCESS,0,NONE,RRN40476096889
TXN000040168,2026-02-01 03:31:42,CUST001330,ACC00001330,ATM,Debit,1671.02,INR,CASH,Cash Withdrawal,Hyderabad,Telangana,17.40756,78.50569,DEV00133001,Known,172.168.160.45,1,1,0,0.844,32.7,APPROVE,SUCCESS,0,NONE,RRN70690391435
TXN000037695,2026-02-01 03:38:52,CUST000744,ACC00000744,POS,Debit,923.1,INR,MER00221,Healthcare,Hyderabad,Telangana,17.38946,78.50071,DEV00074401,Known,172.195.150.161,4,1,0,0.243,34.8,APPROVE,SUCCESS,0,NONE,RRN57406739040
TXN000003580,2026-02-01 03:40:28,CUST001806,ACC00001806,Internet Banking,Debit,878.86,INR,MER00237,Restaurants,Ahmedabad,Gujarat,23.04691,72.59876,DEV00180602,New,172.80.14.48,2,1,0,0.617,57.2,APPROVE,SUCCESS,0,NONE,RRN23053727847
TXN000049731,2026-02-01 03:42:47,CUST000040,ACC00000040,UPI,Debit,1628.81,INR,MER00330,Education,Kolkata,West Bengal,22.59132,88.3574,DEV00004001,Trusted,172.231.198.203,2,1,0,0.186,34.6,APPROVE,SUCCESS,0,NONE,RRN52017696405
TXN000002836,2026-02-01 03:46:28,CUST001900,ACC00001900,POS,Debit,2304.27,INR,MER00142,Education,Pune,Maharashtra,18.53568,73.85581,DEV00190002,New,172.86.11.146,4,1,0,1.238,70.7,CHALLENGE,SUCCESS,0,NONE,RRN64769124330
TXN000010625,2026-02-01 03:47:47,CUST001575,ACC00001575,UPI,Debit,243.98,INR,MER00439,Grocery,Mumbai,Maharashtra,19.09539,72.87392,DEV00157502,Trusted,172.125.42.203,3,1,0,0.01,35.9,APPROVE,SUCCESS,0,NONE,RRN16811795665
TXN000017692,2026-02-01 03:52:35,CUST000446,ACC00000446,Internet Banking,Debit,323.27,INR,MER00142,Education,Pune,Maharashtra,18.5488,73.88605,DEV00044603,Known,172.192.70.89,0,1,0,0.27,29.8,APPROVE,SUCCESS,0,NONE,RRN92310154412
TXN000049960,2026-02-01 03:54:39,CUST001050,ACC00001050,ATM,Debit,4052.15,INR,CASH,Cash Withdrawal,Jaipur,Rajasthan,26.91084,75.79235,DEV00105001,Trusted,172.210.199.34,0,1,0,0.653,31.6,APPROVE,SUCCESS,0,NONE,RRN51074411800
TXN000048437,2026-02-01 03:56:46,CUST000523,ACC00000523,UPI,Debit,1077.9,INR,MER00495,Gaming,Hyderabad,Telangana,17.40572,78.46965,DEV00052301,Trusted,172.187.193.218,1,1,0,0.212,26.4,APPROVE,SUCCESS,0,NONE,RRN45691661390
TXN000034698,2026-02-01 03:58:40,CUST001647,ACC00001647,NEFT,Debit,10022.74,INR,MER00194,Education,Delhi,Delhi,28.59149,77.19821,DEV00164701,Trusted,172.198.138.195,3,1,0,3.407,53.7,APPROVE,SUCCESS,0,NONE,RRN40823683841
TXN000002628,2026-02-01 04:07:01,CUST001643,ACC00001643,ATM,Debit,6858.69,INR,CASH,Cash Withdrawal,Ahmedabad,Gujarat,23.04652,72.58222,DEV00164302,Trusted,172.128.10.51,2,1,0,0.35,32.4,APPROVE,SUCCESS,0,NONE,RRN79276552440
TXN000046562,2026-02-01 04:07:22,CUST000446,ACC00000446,POS,Debit,406.4,INR,MER00499,Fuel,Pune,Maharashtra,18.53312,73.87149,DEV00044601,New,172.62.186.194,3,1,0,0.34,54.5,APPROVE,SUCCESS,0,NONE,RRN79176559752
TXN000005184,2026-02-01 04:10:58,CUST001569,ACC00001569,NEFT,Debit,3228.89,INR,MER00048,Jewellery,Hyderabad,Telangana,17.37612,78.48854,DEV00156901,Known,172.184.20.91,4,1,0,1.486,49.1,APPROVE,SUCCESS,0,NONE,RRN91062170634
TXN000013576,2026-02-01 04:15:21,CUST001742,ACC00001742,Mobile Banking,Debit,460262.71,INR,MER00283,Grocery,Delhi,Delhi,28.6004,77.20767,DEV00174201,Known,172.76.54.129,4,1,0,2079.945,74.0,CHALLENGE,SUCCESS,1,MULE_TRANSFER,RRN68535881790
TXN000049434,2026-02-01 04:16:11,CUST000297,ACC00000297,UPI,Debit,2869.76,INR,MER00019,Electronics,Pune,Maharashtra,18.50674,73.87838,DEV00029701,Known,172.184.197.191,2,1,0,0.277,34.8,APPROVE,SUCCESS,0,NONE,RRN89795068768
TXN000026721,2026-02-01 04:24:02,CUST000657,ACC00000657,POS,Debit,2208.17,INR,MER00327,Electronics,Chennai,Tamil Nadu,13.10533,80.2505,DEV00065701,Trusted,172.221.106.228,1,1,0,0.174,32.3,APPROVE,SUCCESS,0,NONE,RRN91711984495
TXN000015715,2026-02-01 04:24:10,CUST001164,ACC00001164,UPI,Debit,1281.24,INR,MER00461,Electronics,Chennai,Tamil Nadu,13.0559,80.28313,DEV00116401,Trusted,172.215.62.238,0,1,0,3.585,44.3,APPROVE,SUCCESS,0,NONE,RRN27397774425
TXN000020617,2026-02-01 04:38:11,CUST000518,ACC00000518,NEFT,Debit,216.05,INR,MER00436,Jewellery,Delhi,Delhi,28.58565,77.18957,DEV00051801,Known,172.117.82.51,6,1,0,0.079,58.8,APPROVE,SUCCESS,1,VELOCITY_ABUSE,RRN78088873931
TXN000014023,2026-02-01 04:39:42,CUST001481,ACC00001481,UPI,Debit,1217.02,INR,MER00308,Utilities,Bengaluru,Karnataka,12.9627,77.58372,DEV00148101,Trusted,172.23.56.140,3,1,0,1.265,47.2,APPROVE,SUCCESS,0,NONE,RRN36839410062
TXN000026765,2026-02-01 04:41:17,CUST000719,ACC00000719,POS,Debit,87.87,INR,MER00497,Grocery,Hyderabad,Telangana,17.37197,78.4951,DEV00071901,Trusted,172.15.107.116,0,1,0,0.046,29.9,APPROVE,SUCCESS,0,NONE,RRN95932548779
TXN000039631,2026-02-01 04:41:52,CUST000185,ACC00000185,Internet Banking,Debit,306.22,INR,MER00440,Electronics,Ahmedabad,Gujarat,23.0194,72.5568,DEV00018501,New,172.131.158.39,4,1,0,0.013,58.0,APPROVE,SUCCESS,0,NONE,RRN32452897499
TXN000011982,2026-02-01 04:44:06,CUST000785,ACC00000785,UPI,Debit,4350.74,INR,MER00211,Education,Bengaluru,Karnataka,12.98178,77.57326,DEV00078502,Known,172.232.47.168,3,1,0,2.186,47.2,APPROVE,SUCCESS,0,NONE,RRN84755266262
TXN000020613,2026-02-01 04:52:15,CUST000791,ACC00000791,POS,Debit,536.99,INR,MER00249,Restaurants,Bengaluru,Karnataka,12.99916,77.57733,DEV00079101,Trusted,172.113.82.188,0,1,0,0.216,28.6,APPROVE,SUCCESS,0,NONE,RRN84097919858
TXN000040704,2026-02-01 05:02:49,CUST001482,ACC00001482,Mobile Banking,Debit,925.93,INR,MER00035,Grocery,Chennai,Tamil Nadu,13.11018,80.25907,DEV00148201,Known,172.204.162.50,2,0,0,0.63,19.8,APPROVE,SUCCESS,0,NONE,RRN81119095131
TXN000044464,2026-02-01 05:02:57,CUST001325,ACC00001325,ATM,Debit,1865.52,INR,CASH,Cash Withdrawal,Mumbai,Maharashtra,19.08182,72.87599,DEV00132501,New,172.214.177.72,2,0,0,5.431,50.1,APPROVE,SUCCESS,0,NONE,RRN25094093834
TXN000029430,2026-02-01 05:06:32,CUST001894,ACC00001894,Mobile Banking,Debit,631.25,INR,MER00109,Travel,Hyderabad,Telangana,17.39513,78.46776,DEV00189401,Trusted,172.180.117.155,2,0,0,0.127,14.5,APPROVE,SUCCESS,0,NONE,RRN26839805822
TXN000045598,2026-02-01 05:09:48,CUST000680,ACC00000680,UPI,Debit,934.66,INR,MER00483,Grocery,Kolkata,West Bengal,22.57875,88.353,DEV00068002,Trusted,172.98.182.165,3,0,0,0.416,17.7,APPROVE,SUCCESS,0,NONE,RRN77913074520
TXN000016718,2026-02-01 05:16:06,CUST000124,ACC00000124,Internet Banking,Debit,1257.08,INR,MER00459,Restaurants,Bengaluru,Karnataka,12.99701,77.62055,DEV00012401,Trusted,172.218.66.199,1,0,0,2.106,33.4,APPROVE,SUCCESS,0,NONE,RRN79693580815
TXN000012755,2026-02-01 05:16:09,CUST000578,ACC00000578,POS,Debit,487.69,INR,MER00080,E-commerce,Mumbai,Maharashtra,19.10484,72.86806,DEV00057801,New,172.5.51.23,2,0,0,0.258,30.5,APPROVE,SUCCESS,0,NONE,RRN40342436367
TXN000047735,2026-02-01 05:18:01,CUST001304,ACC00001304,RTGS,Debit,452913.33,INR,MER00280,Healthcare,Mumbai,Maharashtra,19.06624,72.87061,DEV00130401,Known,172.235.190.21,3,0,0,297.243,33.2,APPROVE,SUCCESS,0,NONE,RRN79561096529
TXN000044631,2026-02-01 05:18:35,CUST000288,ACC00000288,UPI,Debit,1648.72,INR,MER00243,E-commerce,Mumbai,Maharashtra,19.05653,72.85241,DEV00028802,Trusted,172.131.178.85,2,0,0,0.572,17.9,APPROVE,SUCCESS,0,NONE,RRN63968097606
TXN000032988,2026-02-01 05:19:16,CUST001195,ACC00001195,Internet Banking,Debit,2402.79,INR,MER00018,Electronics,Hyderabad,Telangana,17.41132,78.46966,DEV00119501,Known,172.238.131.10,4,0,0,1.485,35.6,APPROVE,SUCCESS,0,NONE,RRN78783148148
TXN000045524,2026-02-01 05:19:19,CUST001001,ACC00001001,ATM,Debit,965.42,INR,CASH,Cash Withdrawal,Delhi,Delhi,28.61488,77.23852,DEV00100101,Trusted,172.24.182.242,1,0,0,0.819,15.7,APPROVE,SUCCESS,0,NONE,RRN44900794524
TXN000021645,2026-02-01 05:21:21,CUST001266,ACC00001266,Internet Banking,Debit,900.71,INR,MER00189,Jewellery,Delhi,Delhi,28.6278,77.19875,DEV00126601,Known,172.145.86.23,2,0,0,0.218,9.6,APPROVE,SUCCESS,0,NONE,RRN78751466297
TXN000030811,2026-02-01 05:22:56,CUST000633,ACC00000633,ATM,Debit,1770.27,INR,CASH,Cash Withdrawal,Kochi,Kerala,9.90915,76.28277,DEV00063301,Trusted,172.61.123.181,2,0,0,0.694,20.1,APPROVE,SUCCESS,0,NONE,RRN73255472335
TXN000021692,2026-02-01 05:23:27,CUST001755,ACC00001755,UPI,Debit,405.62,INR,MER00475,Fuel,Hyderabad,Telangana,17.38245,78.5024,DEV00175502,Known,172.192.86.95,1,0,0,0.017,8.4,APPROVE,SUCCESS,0,NONE,RRN15805597905
TXN000004727,2026-02-01 05:35:30,CUST001171,ACC00001171,UPI,Debit,1949.99,INR,MER00081,Grocery,Bengaluru,Karnataka,12.95991,77.60298,DEV00117101,New,172.227.18.173,2,0,0,0.619,43.1,APPROVE,SUCCESS,0,NONE,RRN85465607339
TXN000028371,2026-02-01 05:37:18,CUST001122,ACC00001122,POS,Debit,2539.94,INR,MER00493,Grocery,Mumbai,Maharashtra,19.09905,72.87132,DEV00112201,Trusted,172.121.113.197,1,0,0,0.865,18.3,APPROVE,SUCCESS,0,NONE,RRN80272108570
TXN000039977,2026-02-01 05:38:26,CUST000008,ACC00000008,Mobile Banking,Debit,1021.37,INR,MER00254,Utilities,Ahmedabad,Gujarat,22.99253,72.56153,DEV00000803,Trusted,172.227.159.61,3,0,0,0.093,12.0,APPROVE,SUCCESS,0,NONE,RRN33561405557
TXN000035934,2026-02-01 05:42:32,CUST001943,ACC00001943,IMPS,Debit,6841.84,INR,MER00257,Travel,Ahmedabad,Gujarat,23.01022,72.57143,DEV00194301,New,172.184.143.221,4,0,0,7.754,59.3,APPROVE,SUCCESS,0,NONE,RRN43556298963
TXN000012408,2026-02-01 05:47:21,CUST000844,ACC00000844,Mobile Banking,Debit,1414.57,INR,MER00076,E-commerce,Jaipur,Rajasthan,26.94121,75.79898,DEV00084401,Trusted,172.158.49.65,3,0,0,0.437,22.1,APPROVE,SUCCESS,0,NONE,RRN70995776547
TXN000026375,2026-02-01 05:47:35,CUST001256,ACC00001256,Branch,Debit,554.11,INR,MER00337,Travel,Ahmedabad,Gujarat,22.99862,72.55679,DEV00125603,Trusted,172.125.105.42,1,0,0,0.527,18.8,APPROVE,SUCCESS,0,NONE,RRN84776335213
TXN000026699,2026-02-01 05:50:35,CUST000990,ACC00000990,NEFT,Debit,3324.17,INR,MER00131,Grocery,Chennai,Tamil Nadu,13.05553,80.28576,DEV00099001,New,172.199.106.224,4,0,0,6.008,57.1,APPROVE,SUCCESS,0,NONE,RRN42992050761
TXN000012088,2026-02-01 05:51:31,CUST001439,ACC00001439,Mobile Banking,Debit,2351.45,INR,MER00126,Grocery,Bengaluru,Karnataka,12.98406,77.57257,DEV00143901,Trusted,172.88.48.59,4,0,0,0.25,21.6,APPROVE,SUCCESS,0,NONE,RRN82421485149
TXN000009829,2026-02-01 06:12:46,CUST001331,ACC00001331,Mobile Banking,Debit,1135.54,INR,MER00396,E-commerce,Mumbai,Maharashtra,19.09842,72.87382,DEV00133101,Known,172.79.39.64,0,0,0,0.717,16.3,APPROVE,SUCCESS,0,NONE,RRN37952536693
TXN000023264,2026-02-01 06:15:40,CUST000383,ACC00000383,UPI,Debit,3265.27,INR,MER00035,Grocery,Kolkata,West Bengal,22.58628,88.38874,DEV00038301,Trusted,172.14.93.176,1,0,0,1.161,26.0,APPROVE,SUCCESS,0,NONE,RRN67438639263
TXN000021952,2026-02-01 06:28:21,CUST000640,ACC00000640,UPI,Debit,723.83,INR,MER00284,Education,Kochi,Kerala,9.9427,76.2397,DEV00064002,Known,172.202.87.214,0,0,0,0.065,5.8,APPROVE,SUCCESS,0,NONE,RRN63456493911
TXN000010112,2026-02-01 06:30:46,CUST001584,ACC00001584,RTGS,Debit,1425039.04,INR,MER00247,Restaurants,Bengaluru,Karnataka,12.96228,77.5954,DEV00158401,New,172.112.40.69,3,0,0,326.169,52.2,APPROVE,SUCCESS,0,NONE,RRN21509212850
