merchant_id,merchant_name,merchant_category,city,state,latitude,longitude,merchant_risk_band,active_flag
MER00074,SYNTHETIC MERCHANT 00074,Fuel,Kochi,Kerala,9.96653,76.30786,Medium,Y
MER00075,SYNTHETIC MERCHANT 00075,Healthcare,Pune,Maharashtra,18.37087,73.88745,Low,Y
MER00076,SYNTHETIC MERCHANT 00076,E-commerce,Hyderabad,Telangana,17.35909,78.51845,Medium,Y
MER00077,SYNTHETIC MERCHANT 00077,Education,Jaipur,Rajasthan,26.88058,75.93024,Low,Y
MER00078,SYNTHETIC MERCHANT 00078,Gaming,Mumbai,Maharashtra,19.02591,72.93874,Low,Y
MER00079,SYNTHETIC MERCHANT 00079,Gaming,Kochi,Kerala,9.99956,76.45942,Low,Y
MER00080,SYNTHETIC MERCHANT 00080,E-commerce,Chennai,Tamil Nadu,13.07369,80.26323,Medium,Y
MER00081,SYNTHETIC MERCHANT 00081,Grocery,Chennai,Tamil Nadu,13.02488,80.25081,Medium,Y
MER00082,SYNTHETIC MERCHANT 00082,Education,Bengaluru,Karnataka,13.17001,77.69455,Low,Y
MER00083,SYNTHETIC MERCHANT 00083,Healthcare,Kolkata,West Bengal,22.47502,88.27677,Low,Y
MER00084,SYNTHETIC MERCHANT 00084,Education,Ahmedabad,Gujarat,22.87537,72.52718,Low,N
MER00085,SYNTHETIC MERCHANT 00085,Healthcare,Chennai,Tamil Nadu,13.25622,80.29053,Low,Y
MER00086,SYNTHETIC MERCHANT 00086,Restaurants,Ahmedabad,Gujarat,23.19939,72.74721,Low,Y
MER00087,SYNTHETIC MERCHANT 00087,Education,Delhi,Delhi,28.68984,77.39762,Low,Y
MER00088,SYNTHETIC MERCHANT 00088,Jewellery,Mumbai,Maharashtra,19.2354,73.05851,Low,N
MER00089,SYNTHETIC MERCHANT 00089,E-commerce,Bengaluru,Karnataka,13.14301,77.58266,Low,Y
MER00090,SYNTHETIC MERCHANT 00090,Restaurants,Ahmedabad,Gujarat,23.05121,72.6403,Medium,N
MER00091,SYNTHETIC MERCHANT 00091,Utilities,Mumbai,Maharashtra,19.10843,72.78678,Medium,Y
MER00092,SYNTHETIC MERCHANT 00092,Restaurants,Pune,Maharashtra,18.32954,73.8206,Low,Y
MER00093,SYNTHETIC MERCHANT 00093,E-commerce,Bengaluru,Karnataka,12.94567,77.74466,Low,Y
MER00094,SYNTHETIC MERCHANT 00094,Healthcare,Kochi,Kerala,9.80982,76.21144,Low,N
MER00095,SYNTHETIC MERCHANT 00095,Restaurants,Kochi,Kerala,10.05199,76.24024,Low,N
MER00096,SYNTHETIC MERCHANT 00096,Gaming,Ahmedabad,Gujarat,23.0327,72.42723,Low,N
MER00097,SYNTHETIC MERCHANT 00097,Jewellery,Chennai,Tamil Nadu,13.28069,80.30527,Low,N
MER00098,SYNTHETIC MERCHANT 00098,Education,Kochi,Kerala,9.73988,76.40184,Low,Y
MER00099,SYNTHETIC MERCHANT 00099,Jewellery,Kolkata,West Bengal,22.44297,88.17833,Low,Y
MER00100,SYNTHETIC MERCHANT 00100,Restaurants,Kolkata,West Bengal,22.61782,88.37596,Low,Y
MER00101,SYNTHETIC MERCHANT 00101,Grocery,Delhi,Delhi,28.6052,77.02743,Low,Y
MER00102,SYNTHETIC MERCHANT 00102,Healthcare,Delhi,Delhi,28.74383,77.24081,Low,N
MER00103,SYNTHETIC MERCHANT 00103,Travel,Chennai,Tamil Nadu,12.95384,80.46559,Low,Y
MER00104,SYNTHETIC MERCHANT 00104,Jewellery,Chennai,Tamil Nadu,12.99526,80.29158,Low,N
MER00105,SYNTHETIC MERCHANT 00105,Gaming,Kochi,Kerala,9.87218,76.31162,Low,Y
MER00106,SYNTHETIC MERCHANT 00106,Healthcare,Kochi,Kerala,9.89941,76.17244,Low,Y
MER00107,SYNTHETIC MERCHANT 00107,Electronics,Jaipur,Rajasthan,26.93372,75.9847,Medium,Y
MER00108,SYNTHETIC MERCHANT 00108,Education,Pune,Maharashtra,18.55645,73.69506,Low,Y
MER00109,SYNTHETIC MERCHANT 00109,Travel,Mumbai,Maharashtra,19.20656,72.90285,Medium,Y
MER00110,SYNTHETIC MERCHANT 00110,Jewellery,Kolkata,West Bengal,22.75342,88.55745,Low,Y
MER00111,SYNTHETIC MERCHANT 00111,Travel,Bengaluru,Karnataka,13.00118,77.76547,Medium,Y
MER00112,SYNTHETIC MERCHANT 00112,Education,Ahmedabad,Gujarat,23.17471,72.64177,Medium,Y
MER00113,SYNTHETIC MERCHANT 00113,Utilities,Bengaluru,Karnataka,12.97196,77.54856,Low,N
MER00114,SYNTHETIC MERCHANT 00114,Healthcare,Delhi,Delhi,28.66502,77.26097,Low,Y
MER00115,SYNTHETIC MERCHANT 00115,Electronics,Mumbai,Maharashtra,19.22568,72.86766,Low,Y
MER00116,SYNTHETIC MERCHANT 00116,Jewellery,Ahmedabad,Gujarat,22.90424,72.40125,Low,Y
MER00117,SYNTHETIC MERCHANT 00117,Education,Kolkata,West Bengal,22.45175,88.33371,Low,Y
MER00118,SYNTHETIC MERCHANT 00118,Gaming,Chennai,Tamil Nadu,13.13618,80.34093,Low,Y
MER00119,SYNTHETIC MERCHANT 00119,Electronics,Ahmedabad,Gujarat,22.98033,72.59474,Low,N
MER00120,SYNTHETIC MERCHANT 00120,Travel,Kochi,Kerala,10.02472,76.41917,Low,Y
MER00121,SYNTHETIC MERCHANT 00121,Fuel,Kochi,Kerala,10.05173,76.40931,High,N
MER00122,SYNTHETIC MERCHANT 00122,Utilities,Bengaluru,Karnataka,12.96664,77.49744,Low,N
MER00123,SYNTHETIC MERCHANT 00123,Fuel,Kochi,Kerala,9.752,76.0745,Low,Y
MER00124,SYNTHETIC MERCHANT 00124,Restaurants,Kochi,Kerala,10.07768,76.45018,Low,Y
MER00125,SYNTHETIC MERCHANT 00125,Fuel,Chennai,Tamil Nadu,13.18016,80.26513,Low,Y
MER00126,SYNTHETIC MERCHANT 00126,Grocery,Bengaluru,Karnataka,12.88586,77.50015,Low,Y
MER00127,SYNTHETIC MERCHANT 00127,Fuel,Ahmedabad,Gujarat,23.04921,72.42526,Low,Y
MER00128,SYNTHETIC MERCHANT 00128,Travel,Delhi,Delhi,28.59646,77.40435,Low,Y
MER00129,SYNTHETIC MERCHANT 00129,Utilities,Ahmedabad,Gujarat,23.19177,72.48784,Low,Y
MER00130,SYNTHETIC MERCHANT 00130,Grocery,Kolkata,West Bengal,22.40418,88.24771,Low,Y
MER00131,SYNTHETIC MERCHANT 00131,Grocery,Hyderabad,Telangana,17.5379,78.57441,Low,Y
MER00132,SYNTHETIC MERCHANT 00132,E-commerce,Pune,Maharashtra,18.65774,74.03846,Low,Y
MER00133,SYNTHETIC MERCHANT 00133,Grocery,Ahmedabad,Gujarat,23.10026,72.66096,Low,N
MER00134,SYNTHETIC MERCHANT 00134,Jewellery,Chennai,Tamil Nadu,12.95892,80.43278,Low,N
MER00135,SYNTHETIC MERCHANT 00135,E-commerce,Mumbai,Maharashtra,19.27557,72.68042,Medium,N
MER00136,SYNTHETIC MERCHANT 00136,E-commerce,Delhi,Delhi,28.49913,77.34253,Low,Y
MER00137,SYNTHETIC MERCHANT 00137,Grocery,Hyderabad,Telangana,17.22408,78.63915,Low,Y
MER00138,SYNTHETIC MERCHANT 00138,Electronics,Pune,Maharashtra,18.3511,73.97626,Low,Y
MER00139,SYNTHETIC MERCHANT 00139,Gaming,Bengaluru,Karnataka,13.13018,77.40082,Low,Y
MER00140,SYNTHETIC MERCHANT 00140,Utilities,Delhi,Delhi,28.56641,77.11697,Low,N
MER00141,SYNTHETIC MERCHANT 00141,Grocery,Pune,Maharashtra,18.38883,73.91683,Medium,Y
MER00142,SYNTHETIC MERCHANT 00142,Education,Delhi,Delhi,28.63089,77.02557,Low,N
MER00143,SYNTHETIC MERCHANT 00143,Fuel,Hyderabad,Telangana,17.51702,78.57119,Low,Y
MER00144,SYNTHETIC MERCHANT 00144,Education,Chennai,Tamil Nadu,12.90374,80.42837,Low,Y
MER00145,SYNTHETIC MERCHANT 00145,Jewellery,Hyderabad,Telangana,17.56249,78.5312,Medium,N
MER00146,SYNTHETIC MERCHANT 00146,Electronics,Mumbai,Maharashtra,19.06877,72.91787,Low,Y
MER00147,SYNTHETIC MERCHANT 00147,E-commerce,Ahmedabad,Gujarat,23.06528,72.53826,Medium,Y
MER00148,SYNTHETIC MERCHANT 00148,Education,Jaipur,Rajasthan,26.86281,75.71403,Low,Y
MER00149,SYNTHETIC MERCHANT 00149,Electronics,Bengaluru,Karnataka,12.89545,77.74057,Low,N
MER00150,SYNTHETIC MERCHANT 00150,Healthcare,Kochi,Kerala,9.99637,76.3442,Low,Y
MER00151,SYNTHETIC MERCHANT 00151,Education,Ahmedabad,Gujarat,23.16359,72.72332,Low,Y
MER00152,SYNTHETIC MERCHANT 00152,E-commerce,Ahmedabad,Gujarat,22.86625,72.41772,Low,Y
MER00153,SYNTHETIC MERCHANT 00153,Grocery,Pune,Maharashtra,18.46804,73.87924,Medium,N
MER00154,SYNTHETIC MERCHANT 00154,Education,Kolkata,West Bengal,22.7368,88.18072,Low,N
MER00155,SYNTHETIC MERCHANT 00155,Restaurants,Jaipur,Rajasthan,27.05251,75.71774,Low,Y
MER00156,SYNTHETIC MERCHANT 00156,Fuel,Chennai,Tamil Nadu,13.24362,80.43315,Low,Y
MER00157,SYNTHETIC MERCHANT 00157,Healthcare,Kochi,Kerala,10.0375,76.36679,Low,Y
MER00158,SYNTHETIC MERCHANT 00158,Utilities,Jaipur,Rajasthan,26.73663,75.72592,Low,Y
MER00159,SYNTHETIC MERCHANT 00159,Travel,Hyderabad,Telangana,17.3603,78.49142,Low,Y
MER00160,SYNTHETIC MERCHANT 00160,Utilities,Pune,Maharashtra,18.42123,73.90367,High,Y
MER00161,SYNTHETIC MERCHANT 00161,Electronics,Chennai,Tamil Nadu,12.98461,80.23509,Low,Y
MER00162,SYNTHETIC MERCHANT 00162,Electronics,Chennai,Tamil Nadu,13.23234,80.44146,Low,N
MER00163,SYNTHETIC MERCHANT 00163,Fuel,Jaipur,Rajasthan,26.88806,75.59154,Low,Y
MER00164,SYNTHETIC MERCHANT 00164,Travel,Chennai,Tamil Nadu,13.05307,80.30141,Low,Y
MER00165,SYNTHETIC MERCHANT 00165,Gaming,Kochi,Kerala,10.04592,76.22387,Low,Y
MER00166,SYNTHETIC MERCHANT 00166,Healthcare,Kolkata,West Bengal,22.4212,88.3475,Low,Y
MER00167,SYNTHETIC MERCHANT 00167,E-commerce,Mumbai,Maharashtra,19.04897,72.70983,Medium,N
MER00168,SYNTHETIC MERCHANT 00168,Fuel,Kolkata,West Bengal,22.65674,88.37865,Low,N
MER00169,SYNTHETIC MERCHANT 00169,Utilities,Ahmedabad,Gujarat,22.92267,72.57416,High,Y
MER00170,SYNTHETIC MERCHANT 00170,Restaurants,Ahmedabad,Gujarat,22.86356,72.62145,Medium,N
MER00171,SYNTHETIC MERCHANT 00171,Restaurants,Mumbai,Maharashtra,19.04715,72.73019,Low,Y
MER00172,SYNTHETIC MERCHANT 00172,Utilities,Bengaluru,Karnataka,13.07549,77.51436,Medium,Y
MER00173,SYNTHETIC MERCHANT 00173,Grocery,Delhi,Delhi,28.79417,77.24575,Low,Y
MER00174,SYNTHETIC MERCHANT 00174,E-commerce,Bengaluru,Karnataka,13.15242,77.69273,Low,Y
MER00175,SYNTHETIC MERCHANT 00175,Restaurants,Delhi,Delhi,28.79539,77.19455,High,Y
MER00176,SYNTHETIC MERCHANT 00176,Gaming,Jaipur,Rajasthan,26.94289,75.65553,Low,Y
MER00177,SYNTHETIC MERCHANT 00177,Jewellery,Kochi,Kerala,10.05456,76.39055,Low,N
MER00178,SYNTHETIC MERCHANT 00178,Utilities,Kochi,Kerala,10.12679,76.2831,Low,Y
MER00179,SYNTHETIC MERCHANT 00179,Restaurants,Kolkata,West Bengal,22.69164,88.18823,Low,Y
MER00180,SYNTHETIC MERCHANT 00180,Utilities,Mumbai,Maharashtra,19.09189,72.73719,Low,Y
MER00181,SYNTHETIC MERCHANT 00181,Restaurants,Hyderabad,Telangana,17.535,78.35406,Low,N
MER00182,SYNTHETIC MERCHANT 00182,E-commerce,Delhi,Delhi,28.43881,77.36961,Medium,Y
MER00183,SYNTHETIC MERCHANT 00183,Fuel,Kochi,Kerala,9.85842,76.22387,Medium,Y
MER00184,SYNTHETIC MERCHANT 00184,Restaurants,Pune,Maharashtra,18.38107,73.88572,Medium,Y
MER00185,SYNTHETIC MERCHANT 00185,Restaurants,Jaipur,Rajasthan,27.08188,75.88578,Low,Y
MER00186,SYNTHETIC MERCHANT 00186,Education,Bengaluru,Karnataka,12.86899,77.73929,Low,Y
MER00187,SYNTHETIC MERCHANT 00187,Grocery,Bengaluru,Karnataka,13.01913,77.46572,Medium,Y
MER00188,SYNTHETIC MERCHANT 00188,Utilities,Mumbai,Maharashtra,19.27367,73.04318,Low,Y
MER00189,SYNTHETIC MERCHANT 00189,Jewellery,Mumbai,Maharashtra,19.05168,72.998,Low,Y
MER00190,SYNTHETIC MERCHANT 00190,E-commerce,Jaipur,Rajasthan,27.07695,75.91419,Low,Y
MER00191,SYNTHETIC MERCHANT 00191,Fuel,Chennai,Tamil Nadu,13.18457,80.4636,Low,N
MER00192,SYNTHETIC MERCHANT 00192,Education,Pune,Maharashtra,18.53637,73.86281,High,Y
MER00193,SYNTHETIC MERCHANT 00193,Travel,Kochi,Kerala,10.11306,76.36989,Low,Y
MER00194,SYNTHETIC MERCHANT 00194,Education,Delhi,Delhi,28.74852,77.29483,Low,N
MER00195,SYNTHETIC MERCHANT 00195,Restaurants,Mumbai,Maharashtra,18.98637,73.02258,Low,N
MER00196,SYNTHETIC MERCHANT 00196,Jewellery,Kolkata,West Bengal,22.69132,88.27775,Low,Y
MER00197,SYNTHETIC MERCHANT 00197,Utilities,Kolkata,West Bengal,22.70117,88.18697,Low,Y
MER00198,SYNTHETIC MERCHANT 00198,Gaming,Ahmedabad,Gujarat,23.03441,72.38084,Medium,N
MER00199,SYNTHETIC MERCHANT 00199,Education,Chennai,Tamil Nadu,12.92813,80.14593,Low,Y
MER00200,SYNTHETIC MERCHANT 00200,Gaming,Kolkata,West Bengal,22.69063,88.52274,Low,Y
MER00201,SYNTHETIC MERCHANT 00201,Education,Ahmedabad,Gujarat,22.94201,72.4553,Low,Y
MER00202,SYNTHETIC MERCHANT 00202,Healthcare,Jaipur,Rajasthan,26.78438,75.71028,Low,Y
MER00203,SYNTHETIC MERCHANT 00203,Education,Jaipur,Rajasthan,27.02602,75.76506,Low,Y
MER00204,SYNTHETIC MERCHANT 00204,Grocery,Bengaluru,Karnataka,12.91978,77.45061,Low,Y
MER00205,SYNTHETIC MERCHANT 00205,Education,Kolkata,West Bengal,22.73195,88.21073,Low,Y
MER00206,SYNTHETIC MERCHANT 00206,Fuel,Ahmedabad,Gujarat,22.85925,72.54649,Low,Y
MER00207,SYNTHETIC MERCHANT 00207,Education,Mumbai,Maharashtra,18.92483,73.07105,Low,Y
MER00208,SYNTHETIC MERCHANT 00208,Gaming,Jaipur,Rajasthan,26.81929,75.79245,Low,Y
MER00209,SYNTHETIC MERCHANT 00209,Fuel,Chennai,Tamil Nadu,12.93357,80.45781,Medium,Y
MER00210,SYNTHETIC MERCHANT 00210,Healthcare,Ahmedabad,Gujarat,23.07528,72.38809,Low,Y
MER00211,SYNTHETIC MERCHANT 00211,Education,Hyderabad,Telangana,17.35613,78.52818,Medium,Y
MER00212,SYNTHETIC MERCHANT 00212,E-commerce,Bengaluru,Karnataka,12.93447,77.64459,Low,N
MER00213,SYNTHETIC MERCHANT 00213,Jewellery,Jaipur,Rajasthan,27.06972,75.82087,Low,N
MER00214,SYNTHETIC MERCHANT 00214,Travel,Kochi,Kerala,9.74802,76.44157,Low,Y
MER00215,SYNTHETIC MERCHANT 00215,Jewellery,Delhi,Delhi,28.43327,77.4005,Low,Y
MER00216,SYNTHETIC MERCHANT 00216,Grocery,Pune,Maharashtra,18.49598,73.71618,Medium,Y
MER00217,SYNTHETIC MERCHANT 00217,E-commerce,Delhi,Delhi,28.49597,77.34713,Low,Y
MER00218,SYNTHETIC MERCHANT 00218,Utilities,Kolkata,West Bengal,22.76799,88.19171,Low,N
MER00219,SYNTHETIC MERCHANT 00219,Jewellery,Pune,Maharashtra,18.43527,73.73258,Low,N
MER00220,SYNTHETIC MERCHANT 00220,Gaming,Kolkata,West Bengal,22.64994,88.19752,Low,Y
MER00221,SYNTHETIC MERCHANT 00221,Healthcare,Kochi,Kerala,9.88033,76.23559,Low,Y
MER00222,SYNTHETIC MERCHANT 00222,Utilities,Mumbai,Maharashtra,19.10946,73.07459,Medium,N
MER00223,SYNTHETIC MERCHANT 00223,Gaming,Delhi,Delhi,28.78553,77.05212,Low,N
MER00224,SYNTHETIC MERCHANT 00224,Travel,Pune,Maharashtra,18.41634,73.92622,Low,Y
MER00225,SYNTHETIC MERCHANT 00225,Healthcare,Mumbai,Maharashtra,18.93826,73.00758,Low,Y
MER00226,SYNTHETIC MERCHANT 00226,Utilities,Jaipur,Rajasthan,26.96494,75.68303,Low,N
MER00227,SYNTHETIC MERCHANT 00227,Electronics,Mumbai,Maharashtra,19.00576,72.92193,Low,Y
MER00228,SYNTHETIC MERCHANT 00228,Grocery,Ahmedabad,Gujarat,22.9259,72.3811,Low,N
MER00229,SYNTHETIC MERCHANT 00229,Restaurants,Pune,Maharashtra,18.52644,73.84362,Low,Y
MER00230,SYNTHETIC MERCHANT 00230,Grocery,Pune,Maharashtra,18.61569,73.84234,Low,N
MER00231,SYNTHETIC MERCHANT 00231,Travel,Pune,Maharashtra,18.48573,73.66828,Low,N
MER00232,SYNTHETIC MERCHANT 00232,Utilities,Delhi,Delhi,28.43705,77.2309,Low,Y
MER00233,SYNTHETIC MERCHANT 00233,Travel,Delhi,Delhi,28.76707,77.02626,Low,Y
MER00234,SYNTHETIC MERCHANT 00234,Jewellery,Kochi,Kerala,9.948,76.18514,Low,N
MER00235,SYNTHETIC MERCHANT 00235,Fuel,Kolkata,West Bengal,22.58206,88.53278,Low,Y
MER00236,SYNTHETIC MERCHANT 00236,Utilities,Kochi,Kerala,9.99529,76.41781,Low,N
MER00237,SYNTHETIC MERCHANT 00237,Restaurants,Delhi,Delhi,28.59806,77.3828,Low,Y
MER00238,SYNTHETIC MERCHANT 00238,Utilities,Pune,Maharashtra,18.69937,73.81158,Low,N
MER00239,SYNTHETIC MERCHANT 00239,Gaming,Jaipur,Rajasthan,27.07563,75.61262,Medium,N
MER00240,SYNTHETIC MERCHANT 00240,Grocery,Kochi,Kerala,9.85583,76.41353,Low,Y
MER00241,SYNTHETIC MERCHANT 00241,Education,Pune,Maharashtra,18.52183,73.66599,Low,Y
MER00242,SYNTHETIC MERCHANT 00242,Jewellery,Ahmedabad,Gujarat,22.87617,72.62392,Low,N
MER00243,SYNTHETIC MERCHANT 00243,E-commerce,Kochi,Kerala,9.73456,76.11662,Low,Y
MER00244,SYNTHETIC MERCHANT 00244,Utilities,Chennai,Tamil Nadu,13.17265,80.31782,Medium,Y
MER00245,SYNTHETIC MERCHANT 00245,Healthcare,Chennai,Tamil Nadu,13.24603,80.46513,Low,Y
MER00246,SYNTHETIC MERCHANT 00246,Utilities,Chennai,Tamil Nadu,12.98137,80.17269,Medium,Y
MER00247,SYNTHETIC MERCHANT 00247,Restaurants,Jaipur,Rajasthan,27.07958,75.77045,Low,Y
