alert_id,transaction_id,customer_id,alert_ts,fraud_risk_score,priority,fraud_type,decision,alert_status,queue,age_minutes
ALT00000035,TXN000042695,CUST000830,2026-02-04 04:34:51,73.0,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - B,132
ALT00000036,TXN000004588,CUST001388,2026-02-04 15:10:58,48.0,Medium,MERCHANT_COLLUSION,APPROVE,Closed,Fraud Ops - C,175
ALT00000037,TXN000018872,CUST000403,2026-02-04 15:30:24,60.0,Medium,CARD_NOT_PRESENT,APPROVE,Closed,Fraud Ops - A,208
ALT00000038,TXN000039860,CUST000390,2026-02-04 17:43:04,62.7,Medium,CARD_NOT_PRESENT,APPROVE,Open,Fraud Ops - B,199
ALT00000039,TXN000049856,CUST000024,2026-02-05 00:02:48,69.7,Medium,NONE,CHALLENGE,Closed,Fraud Ops - B,26
ALT00000040,TXN000042665,CUST000294,2026-02-05 00:26:57,71.3,Medium,VELOCITY_ABUSE,CHALLENGE,Open,Fraud Ops - C,229
ALT00000041,TXN000013599,CUST000774,2026-02-05 01:11:02,74.9,Medium,NONE,CHALLENGE,Open,Fraud Ops - C,123
ALT00000042,TXN000049962,CUST001111,2026-02-05 01:32:18,77.6,Medium,NONE,CHALLENGE,Closed,Fraud Ops - B,131
ALT00000043,TXN000019299,CUST001191,2026-02-05 01:52:17,67.9,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - A,41
ALT00000044,TXN000039295,CUST001580,2026-02-05 02:00:56,66.9,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,174
ALT00000045,TXN000012510,CUST001434,2026-02-05 02:29:59,66.4,Medium,CARD_TESTING,CHALLENGE,Open,Fraud Ops - A,110
ALT00000046,TXN000036706,CUST000255,2026-02-05 03:23:08,66.8,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,79
ALT00000047,TXN000001402,CUST001693,2026-02-05 03:59:10,66.6,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - B,21
ALT00000048,TXN000029277,CUST000072,2026-02-05 10:57:29,68.0,Medium,MULE_TRANSFER,CHALLENGE,Closed,Fraud Ops - B,42
ALT00000049,TXN000021911,CUST000752,2026-02-05 13:38:19,48.0,Medium,ATM_CASHOUT,APPROVE,Closed,Fraud Ops - C,119
ALT00000050,TXN000032848,CUST001972,2026-02-06 01:44:35,73.1,Medium,IMPOSSIBLE_TRAVEL,CHALLENGE,Open,Fraud Ops - B,40
ALT00000051,TXN000004571,CUST000277,2026-02-06 02:33:21,72.4,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,161
ALT00000052,TXN000008054,CUST000298,2026-02-06 02:45:03,69.5,Medium,NONE,CHALLENGE,Closed,Fraud Ops - B,167
ALT00000053,TXN000039509,CUST000432,2026-02-06 04:07:11,76.5,Medium,NONE,CHALLENGE,Open,Fraud Ops - C,194
ALT00000054,TXN000017293,CUST000204,2026-02-06 04:22:26,69.5,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,191
ALT00000055,TXN000045985,CUST000377,2026-02-06 04:57:51,71.4,Medium,NONE,CHALLENGE,Closed,Fraud Ops - B,19
ALT00000056,TXN000006019,CUST000077,2026-02-06 05:09:14,74.0,Medium,ATM_CASHOUT,CHALLENGE,Open,Fraud Ops - A,234
ALT00000057,TXN000024658,CUST000511,2026-02-06 05:20:30,48.0,Medium,CARD_TESTING,APPROVE,Investigating,Fraud Ops - A,240
ALT00000058,TXN000020643,CUST001203,2026-02-06 05:44:07,85.8,High,ACCOUNT_TAKEOVER,DECLINE,Open,Fraud Ops - C,222
ALT00000059,TXN000046477,CUST000859,2026-02-06 06:09:24,42.0,Medium,CARD_TESTING,APPROVE,Closed,Fraud Ops - A,195
ALT00000060,TXN000005230,CUST000258,2026-02-06 08:22:52,63.6,Medium,IMPOSSIBLE_TRAVEL,APPROVE,Closed,Fraud Ops - C,237
ALT00000061,TXN000020087,CUST000263,2026-02-06 16:45:30,86.1,High,CARD_NOT_PRESENT,DECLINE,Open,Fraud Ops - C,5
ALT00000062,TXN000047562,CUST000361,2026-02-07 01:20:51,67.8,Medium,VELOCITY_ABUSE,CHALLENGE,Open,Fraud Ops - A,232
ALT00000063,TXN000003961,CUST001392,2026-02-07 04:29:05,73.3,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - C,123
ALT00000064,TXN000030075,CUST000117,2026-02-07 05:44:30,68.3,Medium,CARD_TESTING,CHALLENGE,Open,Fraud Ops - B,227
ALT00000065,TXN000043317,CUST000292,2026-02-07 08:43:22,56.0,Medium,ATM_CASHOUT,APPROVE,Investigating,Fraud Ops - B,25
ALT00000066,TXN000049771,CUST001286,2026-02-07 14:01:49,85.0,High,ACCOUNT_TAKEOVER,DECLINE,Open,Fraud Ops - C,85
ALT00000067,TXN000037145,CUST000587,2026-02-07 15:53:15,48.0,Medium,ATM_CASHOUT,APPROVE,Open,Fraud Ops - A,219
ALT00000068,TXN000020579,CUST001396,2026-02-07 22:27:06,52.1,Medium,VELOCITY_ABUSE,APPROVE,Closed,Fraud Ops - B,25
ALT00000069,TXN000013575,CUST001581,2026-02-08 00:36:11,66.1,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - C,42
ALT00000070,TXN000034442,CUST000409,2026-02-08 01:26:19,74.5,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - C,185
ALT00000071,TXN000004662,CUST001231,2026-02-08 01:47:56,82.1,High,VELOCITY_ABUSE,CHALLENGE,Investigating,Fraud Ops - C,223
ALT00000072,TXN000034037,CUST000891,2026-02-08 02:33:42,75.0,Medium,NONE,CHALLENGE,Open,Fraud Ops - C,217
ALT00000073,TXN000027173,CUST000606,2026-02-08 03:06:34,65.5,Medium,NONE,CHALLENGE,Closed,Fraud Ops - B,7
ALT00000074,TXN000043596,CUST000544,2026-02-08 03:08:36,66.8,Medium,NONE,CHALLENGE,Closed,Fraud Ops - C,167
ALT00000075,TXN000017833,CUST001376,2026-02-08 03:23:20,69.0,Medium,NONE,CHALLENGE,Open,Fraud Ops - C,223
ALT00000076,TXN000046761,CUST001413,2026-02-08 04:27:42,66.2,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,212
ALT00000077,TXN000014128,CUST001141,2026-02-08 04:35:34,69.2,Medium,NONE,CHALLENGE,Closed,Fraud Ops - C,31
ALT00000078,TXN000021607,CUST001574,2026-02-08 05:47:24,50.0,Medium,MERCHANT_COLLUSION,APPROVE,Closed,Fraud Ops - A,145
ALT00000079,TXN000040238,CUST001304,2026-02-08 06:28:37,54.0,Medium,ATM_CASHOUT,APPROVE,Investigating,Fraud Ops - A,201
ALT00000080,TXN000022278,CUST001971,2026-02-08 17:20:24,88.5,High,CARD_NOT_PRESENT,DECLINE,Investigating,Fraud Ops - C,224
ALT00000081,TXN000022947,CUST001830,2026-02-08 19:29:34,74.0,Medium,MULE_TRANSFER,CHALLENGE,Closed,Fraud Ops - C,125
ALT00000082,TXN000028670,CUST001722,2026-02-08 21:37:38,72.0,Medium,MERCHANT_COLLUSION,CHALLENGE,Closed,Fraud Ops - A,217
ALT00000083,TXN000038650,CUST000588,2026-02-08 23:34:55,50.0,Medium,MERCHANT_COLLUSION,APPROVE,Open,Fraud Ops - A,215
ALT00000084,TXN000043804,CUST001290,2026-02-09 00:52:18,72.9,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,103
ALT00000085,TXN000034068,CUST000725,2026-02-09 01:40:05,69.8,Medium,NONE,CHALLENGE,Closed,Fraud Ops - A,239
ALT00000086,TXN000006573,CUST000367,2026-02-09 03:52:57,76.3,Medium,NONE,CHALLENGE,Closed,Fraud Ops - C,131
ALT00000087,TXN000047976,CUST000010,2026-02-09 03:54:50,81.2,High,IMPOSSIBLE_TRAVEL,CHALLENGE,Open,Fraud Ops - C,131
ALT00000088,TXN000018936,CUST000046,2026-02-09 06:00:19,83.8,High,ACCOUNT_TAKEOVER,CHALLENGE,Investigating,Fraud Ops - B,219
ALT00000089,TXN000045183,CUST000274,2026-02-09 13:01:53,48.0,Medium,ATM_CASHOUT,APPROVE,Investigating,Fraud Ops - A,129
ALT00000090,TXN000018276,CUST001470,2026-02-10 00:11:31,68.6,Medium,NONE,CHALLENGE,Open,Fraud Ops - C,148
ALT00000091,TXN000044746,CUST001160,2026-02-10 00:33:59,73.1,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - B,99
ALT00000092,TXN000014896,CUST001141,2026-02-10 02:12:25,75.8,Medium,NONE,CHALLENGE,Closed,Fraud Ops - A,193
ALT00000093,TXN000018842,CUST000617,2026-02-10 03:22:14,72.5,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,198
ALT00000094,TXN000033747,CUST000628,2026-02-10 04:02:55,67.1,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,23
ALT00000095,TXN000020134,CUST000676,2026-02-10 04:03:38,78.3,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,17
ALT00000096,TXN000018023,CUST001776,2026-02-10 04:08:15,73.7,Medium,NONE,CHALLENGE,Open,Fraud Ops - C,184
ALT00000097,TXN000000904,CUST000434,2026-02-10 04:35:46,66.1,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,140
ALT00000098,TXN000016004,CUST001503,2026-02-10 07:15:48,70.0,Medium,MERCHANT_COLLUSION,CHALLENGE,Open,Fraud Ops - A,47
ALT00000099,TXN000012967,CUST000014,2026-02-10 07:57:24,47.8,Medium,VELOCITY_ABUSE,APPROVE,Open,Fraud Ops - C,43
ALT00000100,TXN000008101,CUST001046,2026-02-10 08:30:14,48.1,Medium,CARD_TESTING,APPROVE,Investigating,Fraud Ops - A,11
ALT00000101,TXN000046075,CUST000263,2026-02-10 09:20:40,80.4,High,IMPOSSIBLE_TRAVEL,CHALLENGE,Investigating,Fraud Ops - B,208
ALT00000102,TXN000024268,CUST001102,2026-02-10 11:56:10,85.3,High,IMPOSSIBLE_TRAVEL,DECLINE,Investigating,Fraud Ops - B,226
ALT00000103,TXN000005369,CUST001601,2026-02-11 00:09:46,65.7,Medium,NONE,CHALLENGE,Closed,Fraud Ops - C,22
ALT00000104,TXN000025651,CUST001612,2026-02-11 02:55:32,84.1,High,IMPOSSIBLE_TRAVEL,CHALLENGE,Open,Fraud Ops - C,119
ALT00000105,TXN000035216,CUST001883,2026-02-11 03:48:47,65.0,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,216
ALT00000106,TXN000013509,CUST001807,2026-02-11 04:39:04,75.2,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - C,92
ALT00000107,TXN000005168,CUST000432,2026-02-11 05:17:35,48.0,Medium,MULE_TRANSFER,APPROVE,Open,Fraud Ops - A,131
ALT00000108,TXN000013157,CUST001690,2026-02-11 08:29:31,72.0,Medium,MULE_TRANSFER,CHALLENGE,Investigating,Fraud Ops - B,17
ALT00000109,TXN000015207,CUST000976,2026-02-11 19:55:56,90.2,Critical,CARD_NOT_PRESENT,DECLINE,Closed,Fraud Ops - A,103
ALT00000110,TXN000047671,CUST000335,2026-02-12 01:55:17,72.7,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,13
ALT00000111,TXN000049611,CUST000561,2026-02-12 03:39:00,68.5,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,19
ALT00000112,TXN000041473,CUST000430,2026-02-12 03:52:30,77.0,Medium,NONE,CHALLENGE,Closed,Fraud Ops - B,103
ALT00000113,TXN000045852,CUST001111,2026-02-12 03:56:41,65.6,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - A,111
ALT00000114,TXN000027177,CUST001670,2026-02-12 12:06:44,48.1,Medium,CARD_TESTING,APPROVE,Open,Fraud Ops - C,124
ALT00000115,TXN000034855,CUST000999,2026-02-12 14:58:54,89.3,High,IMPOSSIBLE_TRAVEL,DECLINE,Open,Fraud Ops - C,136
ALT00000116,TXN000020356,CUST000779,2026-02-12 16:03:37,44.8,Medium,VELOCITY_ABUSE,APPROVE,Open,Fraud Ops - A,11
ALT00000117,TXN000039817,CUST000040,2026-02-12 20:34:59,54.0,Medium,MULE_TRANSFER,APPROVE,Closed,Fraud Ops - A,64
ALT00000118,TXN000030336,CUST001636,2026-02-13 01:04:44,68.1,Medium,NONE,CHALLENGE,Closed,Fraud Ops - C,52
ALT00000119,TXN000015380,CUST000275,2026-02-13 03:56:39,65.1,Medium,NONE,CHALLENGE,Open,Fraud Ops - C,46
ALT00000120,TXN000022088,CUST000759,2026-02-13 04:30:22,74.0,Medium,MERCHANT_COLLUSION,CHALLENGE,Open,Fraud Ops - A,127
ALT00000121,TXN000008022,CUST001167,2026-02-13 18:01:23,52.0,Medium,MERCHANT_COLLUSION,APPROVE,Open,Fraud Ops - A,211
ALT00000122,TXN000015981,CUST001890,2026-02-13 23:01:59,99,Critical,ACCOUNT_TAKEOVER,DECLINE,Closed,Fraud Ops - C,52
ALT00000123,TXN000031042,CUST000995,2026-02-14 00:27:22,74.3,Medium,IMPOSSIBLE_TRAVEL,CHALLENGE,Open,Fraud Ops - A,89
ALT00000124,TXN000049152,CUST001812,2026-02-14 02:05:16,66.9,Medium,NONE,CHALLENGE,Closed,Fraud Ops - A,128
ALT00000125,TXN000035062,CUST001956,2026-02-14 02:13:08,71.0,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - B,129
ALT00000126,TXN000039493,CUST000156,2026-02-14 09:32:26,74.5,Medium,CARD_NOT_PRESENT,CHALLENGE,Open,Fraud Ops - A,41
ALT00000127,TXN000015085,CUST000582,2026-02-14 10:40:43,48.9,Medium,VELOCITY_ABUSE,APPROVE,Closed,Fraud Ops - C,166
ALT00000128,TXN000016901,CUST001160,2026-02-14 13:15:24,76.0,Medium,ATM_CASHOUT,CHALLENGE,Closed,Fraud Ops - C,157
ALT00000129,TXN000048402,CUST001535,2026-02-14 13:41:32,74.0,Medium,IMPOSSIBLE_TRAVEL,CHALLENGE,Open,Fraud Ops - A,78
ALT00000130,TXN000033253,CUST000420,2026-02-14 14:15:16,81,High,IMPOSSIBLE_TRAVEL,CHALLENGE,Investigating,Fraud Ops - C,178
ALT00000131,TXN000009199,CUST000668,2026-02-15 01:14:39,77.0,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - A,120
ALT00000132,TXN000038414,CUST000533,2026-02-15 02:36:26,68.1,Medium,NONE,CHALLENGE,Closed,Fraud Ops - C,58
ALT00000133,TXN000011189,CUST000789,2026-02-15 03:06:15,69.8,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - A,24
ALT00000134,TXN000048440,CUST001430,2026-02-15 14:21:06,68.0,Medium,ATM_CASHOUT,CHALLENGE,Open,Fraud Ops - A,30
ALT00000135,TXN000043943,CUST000481,2026-02-15 16:01:28,48.2,Medium,CARD_TESTING,APPROVE,Open,Fraud Ops - C,46
ALT00000136,TXN000018571,CUST000627,2026-02-15 16:14:01,95,Critical,ACCOUNT_TAKEOVER,DECLINE,Open,Fraud Ops - C,44
ALT00000137,TXN000044195,CUST001470,2026-02-16 00:25:49,65.6,Medium,NONE,CHALLENGE,Open,Fraud Ops - C,52
ALT00000138,TXN000035844,CUST000314,2026-02-16 01:37:36,74.7,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,21
ALT00000139,TXN000013913,CUST001346,2026-02-16 01:39:42,77.0,Medium,NONE,CHALLENGE,Closed,Fraud Ops - B,119
ALT00000140,TXN000029605,CUST001473,2026-02-16 01:53:20,72.0,Medium,MERCHANT_COLLUSION,CHALLENGE,Closed,Fraud Ops - C,123
ALT00000141,TXN000016862,CUST000912,2026-02-16 01:59:34,72.1,Medium,NONE,CHALLENGE,Closed,Fraud Ops - C,223
ALT00000142,TXN000022215,CUST001038,2026-02-16 02:11:33,72.0,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,41
ALT00000143,TXN000036162,CUST001946,2026-02-16 02:12:33,73.8,Medium,NONE,CHALLENGE,Closed,Fraud Ops - A,76
ALT00000144,TXN000021681,CUST001618,2026-02-16 02:20:16,72.0,Medium,MERCHANT_COLLUSION,CHALLENGE,Investigating,Fraud Ops - A,82
ALT00000145,TXN000046366,CUST000600,2026-02-16 02:24:03,75.1,Medium,NONE,CHALLENGE,Closed,Fraud Ops - B,48
ALT00000146,TXN000010569,CUST001555,2026-02-16 02:55:13,70.3,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,209
ALT00000147,TXN000039917,CUST000622,2026-02-16 04:08:51,78.0,Medium,NONE,CHALLENGE,Open,Fraud Ops - C,238
ALT00000148,TXN000010945,CUST000681,2026-02-16 14:03:45,95.6,Critical,ACCOUNT_TAKEOVER,DECLINE,Open,Fraud Ops - A,65
ALT00000149,TXN000027587,CUST001105,2026-02-16 16:02:32,48.0,Medium,CARD_TESTING,APPROVE,Investigating,Fraud Ops - B,153
ALT00000150,TXN000025128,CUST001457,2026-02-16 19:45:03,43.9,Medium,IMPOSSIBLE_TRAVEL,APPROVE,Open,Fraud Ops - C,127
ALT00000151,TXN000033425,CUST001045,2026-02-16 20:51:20,65.7,Medium,CARD_NOT_PRESENT,CHALLENGE,Closed,Fraud Ops - B,47
ALT00000152,TXN000049234,CUST001280,2026-02-16 21:36:28,50.0,Medium,IMPOSSIBLE_TRAVEL,APPROVE,Open,Fraud Ops - C,235
ALT00000153,TXN000029508,CUST001905,2026-02-17 00:27:58,66.7,Medium,VELOCITY_ABUSE,CHALLENGE,Closed,Fraud Ops - B,56
ALT00000154,TXN000006848,CUST001191,2026-02-17 00:45:18,70.5,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,205
ALT00000155,TXN000001607,CUST001191,2026-02-17 01:04:42,68.3,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,49
ALT00000156,TXN000038912,CUST000991,2026-02-17 01:55:01,99,Critical,CARD_NOT_PRESENT,DECLINE,Open,Fraud Ops - B,83
ALT00000157,TXN000001491,CUST001220,2026-02-17 03:49:52,68.7,Medium,NONE,CHALLENGE,Closed,Fraud Ops - B,6
ALT00000158,TXN000033436,CUST001227,2026-02-17 13:08:19,76.0,Medium,MULE_TRANSFER,CHALLENGE,Closed,Fraud Ops - A,127
ALT00000159,TXN000037737,CUST001776,2026-02-18 00:07:47,68.4,Medium,NONE,CHALLENGE,Closed,Fraud Ops - B,113
ALT00000160,TXN000031460,CUST001906,2026-02-18 00:18:20,68.0,Medium,MERCHANT_COLLUSION,CHALLENGE,Investigating,Fraud Ops - C,133
ALT00000161,TXN000033424,CUST001592,2026-02-18 00:21:29,77.9,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,107
ALT00000162,TXN000010306,CUST001543,2026-02-18 01:01:37,73.7,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,96
ALT00000163,TXN000019069,CUST001146,2026-02-18 02:26:56,71.4,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - C,99
ALT00000164,TXN000048334,CUST000964,2026-02-18 03:16:51,78.8,Medium,VELOCITY_ABUSE,CHALLENGE,Closed,Fraud Ops - B,52
ALT00000165,TXN000029753,CUST000620,2026-02-18 03:46:18,73.0,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - B,179
ALT00000166,TXN000005961,CUST001040,2026-02-18 12:47:39,43.3,Medium,VELOCITY_ABUSE,APPROVE,Investigating,Fraud Ops - C,164
ALT00000167,TXN000032391,CUST000557,2026-02-18 22:25:07,66.3,Medium,VELOCITY_ABUSE,CHALLENGE,Open,Fraud Ops - C,156
ALT00000168,TXN000004500,CUST001511,2026-02-18 23:10:53,68.0,Medium,MULE_TRANSFER,CHALLENGE,Open,Fraud Ops - B,40
ALT00000169,TXN000031704,CUST000830,2026-02-19 04:33:08,78.0,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - C,114
ALT00000170,TXN000039083,CUST001891,2026-02-19 05:03:05,83.9,High,ACCOUNT_TAKEOVER,CHALLENGE,Open,Fraud Ops - A,84
ALT00000171,TXN000041708,CUST001310,2026-02-19 15:05:23,90.9,Critical,ACCOUNT_TAKEOVER,DECLINE,Open,Fraud Ops - A,188
ALT00000172,TXN000043048,CUST001056,2026-02-20 01:11:14,65.2,Medium,VELOCITY_ABUSE,CHALLENGE,Open,Fraud Ops - C,56
ALT00000173,TXN000028572,CUST000084,2026-02-20 01:29:57,67.1,Medium,NONE,CHALLENGE,Open,Fraud Ops - C,11
ALT00000174,TXN000014270,CUST001970,2026-02-20 02:33:37,71.3,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - A,5
ALT00000175,TXN000038048,CUST000296,2026-02-20 03:09:45,70.7,Medium,NONE,CHALLENGE,Closed,Fraud Ops - A,11
ALT00000176,TXN000007653,CUST000605,2026-02-20 04:17:11,73.9,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - A,33
ALT00000177,TXN000042454,CUST001236,2026-02-20 05:48:46,57.0,Medium,VELOCITY_ABUSE,APPROVE,Closed,Fraud Ops - A,240
ALT00000178,TXN000041825,CUST001739,2026-02-20 07:02:59,54.0,Medium,MERCHANT_COLLUSION,APPROVE,Investigating,Fraud Ops - C,104
ALT00000179,TXN000025480,CUST001249,2026-02-20 13:57:38,48.0,Medium,CARD_TESTING,APPROVE,Open,Fraud Ops - A,158
ALT00000180,TXN000021955,CUST000980,2026-02-20 19:28:11,68.0,Medium,IMPOSSIBLE_TRAVEL,CHALLENGE,Closed,Fraud Ops - B,25
ALT00000181,TXN000009881,CUST001160,2026-02-21 00:21:40,70.2,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,214
ALT00000182,TXN000037908,CUST000853,2026-02-21 00:47:05,72.5,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - A,38
ALT00000183,TXN000038383,CUST001290,2026-02-21 00:58:40,69.1,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,105
ALT00000184,TXN000018048,CUST001011,2026-02-21 01:25:25,60.5,Medium,CARD_TESTING,APPROVE,Open,Fraud Ops - C,133
ALT00000185,TXN000015868,CUST000621,2026-02-21 02:49:18,72.6,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,167
ALT00000186,TXN000000577,CUST001037,2026-02-21 03:35:13,80.2,High,CARD_TESTING,CHALLENGE,Closed,Fraud Ops - B,107
ALT00000187,TXN000033538,CUST000184,2026-02-21 03:57:53,69.9,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - A,135
ALT00000188,TXN000028116,CUST000912,2026-02-21 04:18:42,65.0,Medium,NONE,CHALLENGE,Open,Fraud Ops - B,5
ALT00000189,TXN000040579,CUST001578,2026-02-21 04:21:17,68.6,Medium,NONE,CHALLENGE,Open,Fraud Ops - A,228
ALT00000190,TXN000010470,CUST001479,2026-02-21 04:41:18,67.5,Medium,NONE,CHALLENGE,Investigating,Fraud Ops - A,81
