device_id,customer_id,device_type,last_ip_address,device_trust_status,first_seen_date
DEV00002901,CUST000029,POS,10.29.0.110,Known,2025-11-22
DEV00002902,CUST000029,POS,10.29.1.166,Known,2026-01-19
DEV00003001,CUST000030,ATM,10.30.0.212,Known,2025-03-07
DEV00003002,CUST000030,iOS,10.30.1.213,Trusted,2025-04-21
DEV00003101,CUST000031,POS,10.31.0.3,Trusted,2025-11-05
DEV00003102,CUST000031,iOS,10.31.1.185,New,2024-09-18
DEV00003201,CUST000032,Windows,10.32.0.109,Known,2025-02-05
DEV00003202,CUST000032,ATM,10.32.1.70,Known,2025-05-19
DEV00003203,CUST000032,iOS,10.32.2.31,Trusted,2025-03-14
DEV00003301,CUST000033,Windows,10.33.0.46,Known,2026-01-17
DEV00003401,CUST000034,Android,10.34.0.103,New,2025-11-17
DEV00003501,CUST000035,POS,10.35.0.254,New,2025-03-25
DEV00003502,CUST000035,POS,10.35.1.159,Trusted,2024-05-17
DEV00003601,CUST000036,Windows,10.36.0.181,Known,2024-02-12
DEV00003701,CUST000037,iOS,10.37.0.203,Known,2024-06-01
DEV00003801,CUST000038,Windows,10.38.0.7,Trusted,2025-06-11
DEV00003802,CUST000038,POS,10.38.1.151,Trusted,2023-12-10
DEV00003803,CUST000038,Windows,10.38.2.148,Trusted,2023-12-12
DEV00003901,CUST000039,ATM,10.39.0.74,New,2023-12-15
DEV00003902,CUST000039,POS,10.39.1.10,New,2025-11-02
DEV00004001,CUST000040,iOS,10.40.0.69,Trusted,2025-04-12
DEV00004101,CUST000041,Android,10.41.0.166,Trusted,2024-09-08
DEV00004102,CUST000041,Windows,10.41.1.131,Known,2024-12-02
DEV00004201,CUST000042,Android,10.42.0.73,Known,2024-06-09
DEV00004202,CUST000042,POS,10.42.1.169,New,2025-09-01
DEV00004301,CUST000043,ATM,10.43.0.99,Trusted,2024-09-11
DEV00004302,CUST000043,Android,10.43.1.33,Known,2025-10-21
DEV00004401,CUST000044,Windows,10.44.0.161,New,2024-07-26
DEV00004402,CUST000044,Android,10.44.1.159,Trusted,2025-06-05
DEV00004501,CUST000045,Windows,10.45.0.96,New,2025-09-04
DEV00004502,CUST000045,iOS,10.45.1.136,New,2024-07-01
DEV00004601,CUST000046,POS,10.46.0.41,Trusted,2024-11-05
DEV00004602,CUST000046,Windows,10.46.1.253,Known,2024-04-17
DEV00004701,CUST000047,Android,10.47.0.145,Trusted,2024-05-21
DEV00004702,CUST000047,ATM,10.47.1.214,Known,2023-11-29
DEV00004801,CUST000048,Android,10.48.0.149,Known,2024-01-13
DEV00004802,CUST000048,iOS,10.48.1.24,Known,2025-03-03
DEV00004901,CUST000049,ATM,10.49.0.247,Trusted,2025-09-09
DEV00005001,CUST000050,POS,10.50.0.98,Known,2025-10-13
DEV00005002,CUST000050,iOS,10.50.1.121,Trusted,2024-05-07
DEV00005101,CUST000051,Android,10.51.0.61,Trusted,2024-12-30
DEV00005201,CUST000052,iOS,10.52.0.114,New,2025-06-04
DEV00005202,CUST000052,Windows,10.52.1.26,Known,2024-07-23
DEV00005301,CUST000053,iOS,10.53.0.202,Trusted,2025-11-22
DEV00005401,CUST000054,Android,10.54.0.92,Trusted,2024-06-08
DEV00005501,CUST000055,POS,10.55.0.12,Known,2024-10-19
DEV00005601,CUST000056,Windows,10.56.0.117,New,2025-10-22
DEV00005602,CUST000056,Android,10.56.1.219,Trusted,2024-11-17
DEV00005603,CUST000056,ATM,10.56.2.228,Trusted,2024-12-04
DEV00005701,CUST000057,ATM,10.57.0.25,Known,2025-09-20
DEV00005801,CUST000058,Windows,10.58.0.27,Trusted,2025-08-26
DEV00005802,CUST000058,ATM,10.58.1.58,Trusted,2025-02-07
DEV00005901,CUST000059,Windows,10.59.0.236,Known,2025-02-06
DEV00005902,CUST000059,Android,10.59.1.47,Trusted,2024-07-01
DEV00006001,CUST000060,Android,10.60.0.40,Trusted,2023-12-21
DEV00006101,CUST000061,ATM,10.61.0.135,Known,2025-12-16
DEV00006102,CUST000061,iOS,10.61.1.102,Trusted,2026-01-24
DEV00006103,CUST000061,iOS,10.61.2.78,Trusted,2023-12-08
DEV00006201,CUST000062,ATM,10.62.0.5,New,2025-11-13
DEV00006301,CUST000063,iOS,10.63.0.112,New,2024-08-13
DEV00006401,CUST000064,Android,10.64.0.38,Known,2025-07-13
DEV00006501,CUST000065,Android,10.65.0.121,New,2024-04-25
DEV00006502,CUST000065,Windows,10.65.1.204,Known,2024-06-05
DEV00006601,CUST000066,ATM,10.66.0.233,Trusted,2025-03-08
DEV00006701,CUST000067,POS,10.67.0.41,Known,2025-01-15
DEV00006702,CUST000067,Windows,10.67.1.100,New,2023-11-30
DEV00006703,CUST000067,Windows,10.67.2.174,Trusted,2024-04-25
DEV00006801,CUST000068,POS,10.68.0.97,Known,2025-09-23
DEV00006802,CUST000068,POS,10.68.1.24,New,2024-08-29
DEV00006901,CUST000069,Android,10.69.0.170,Known,2023-12-09
DEV00006902,CUST000069,POS,10.69.1.34,New,2025-08-27
DEV00006903,CUST000069,iOS,10.69.2.47,Trusted,2024-01-24
DEV00007001,CUST000070,ATM,10.70.0.119,Known,2023-11-27
DEV00007002,CUST000070,ATM,10.70.1.129,New,2025-08-19
DEV00007003,CUST000070,iOS,10.70.2.206,Trusted,2025-05-20
DEV00007101,CUST000071,ATM,10.71.0.227,Known,2026-01-04
DEV00007201,CUST000072,Windows,10.72.0.235,New,2024-02-19
DEV00007301,CUST000073,Windows,10.73.0.32,Trusted,2025-06-01
DEV00007401,CUST000074,iOS,10.74.0.171,Trusted,2024-08-13
DEV00007402,CUST000074,Windows,10.74.1.18,Trusted,2024-12-28
DEV00007501,CUST000075,POS,10.75.0.87,Trusted,2023-11-26
DEV00007502,CUST000075,ATM,10.75.1.252,New,2024-04-25
DEV00007601,CUST000076,Windows,10.76.0.92,Trusted,2024-03-31
DEV00007701,CUST000077,ATM,10.77.0.21,New,2024-05-25
DEV00007801,CUST000078,ATM,10.78.0.71,Trusted,2025-11-16
DEV00007802,CUST000078,ATM,10.78.1.94,Trusted,2025-12-31
DEV00007803,CUST000078,iOS,10.78.2.218,New,2025-12-27
DEV00007901,CUST000079,iOS,10.79.0.246,Trusted,2026-01-05
DEV00007902,CUST000079,iOS,10.79.1.128,New,2024-07-05
DEV00008001,CUST000080,Windows,10.80.0.182,Trusted,2024-07-17
DEV00008002,CUST000080,POS,10.80.1.75,Known,2025-08-23
DEV00008101,CUST000081,ATM,10.81.0.135,New,2023-12-06
DEV00008102,CUST000081,ATM,10.81.1.211,Trusted,2025-09-25
DEV00008201,CUST000082,POS,10.82.0.40,Known,2025-08-16
DEV00008301,CUST000083,Android,10.83.0.129,Trusted,2024-06-04
DEV00008302,CUST000083,POS,10.83.1.40,Trusted,2024-03-28
DEV00008303,CUST000083,POS,10.83.2.185,Known,2024-07-03
DEV00008401,CUST000084,Windows,10.84.0.124,Trusted,2024-03-01
DEV00008402,CUST000084,ATM,10.84.1.77,New,2025-11-18
DEV00008501,CUST000085,Android,10.85.0.69,New,2025-05-23
DEV00008502,CUST000085,iOS,10.85.1.25,Trusted,2025-04-09
DEV00008601,CUST000086,Android,10.86.0.24,New,2024-09-01
DEV00008602,CUST000086,ATM,10.86.1.248,Trusted,2025-06-25
DEV00008701,CUST000087,POS,10.87.0.50,Known,2024-07-14
DEV00008702,CUST000087,Windows,10.87.1.19,New,2024-09-02
DEV00008703,CUST000087,ATM,10.87.2.196,Known,2024-05-03
DEV00008801,CUST000088,Windows,10.88.0.206,New,2024-08-18
DEV00008901,CUST000089,Android,10.89.0.95,Known,2024-03-13
DEV00008902,CUST000089,Android,10.89.1.251,New,2024-06-13
DEV00009001,CUST000090,POS,10.90.0.162,New,2025-09-02
DEV00009101,CUST000091,iOS,10.91.0.144,Known,2024-03-24
DEV00009102,CUST000091,ATM,10.91.1.135,New,2025-03-16
DEV00009103,CUST000091,iOS,10.91.2.118,Known,2024-07-21
DEV00009201,CUST000092,Windows,10.92.0.123,Known,2024-07-07
DEV00009202,CUST000092,Windows,10.92.1.74,Trusted,2024-06-23
DEV00009301,CUST000093,iOS,10.93.0.212,Known,2024-07-05
DEV00009401,CUST000094,Android,10.94.0.247,Trusted,2024-12-11
DEV00009501,CUST000095,Android,10.95.0.215,New,2024-09-11
DEV00009601,CUST000096,Windows,10.96.0.42,New,2024-04-08
DEV00009701,CUST000097,iOS,10.97.0.2,Known,2025-01-04
DEV00009702,CUST000097,iOS,10.97.1.115,Known,2025-02-28
DEV00009801,CUST000098,POS,10.98.0.57,Trusted,2025-09-17
DEV00009802,CUST000098,ATM,10.98.1.40,New,2023-12-28
DEV00009901,CUST000099,Windows,10.99.0.20,Trusted,2025-11-29
DEV00009902,CUST000099,POS,10.99.1.232,Trusted,2024-06-24
DEV00009903,CUST000099,POS,10.99.2.39,Trusted,2025-03-02
DEV00010001,CUST000100,ATM,10.100.0.173,Known,2024-01-22
DEV00010002,CUST000100,Android,10.100.1.102,Known,2026-01-28
DEV00010003,CUST000100,iOS,10.100.2.149,Trusted,2025-12-16
DEV00010101,CUST000101,ATM,10.101.0.97,Trusted,2024-03-03
DEV00010102,CUST000101,POS,10.101.1.35,Known,2025-10-02
DEV00010201,CUST000102,iOS,10.102.0.118,Known,2025-08-26
DEV00010301,CUST000103,Android,10.103.0.103,New,2025-06-06
DEV00010401,CUST000104,POS,10.104.0.57,New,2025-03-30
DEV00010501,CUST000105,ATM,10.105.0.39,Known,2025-01-11
DEV00010502,CUST000105,iOS,10.105.1.194,New,2025-05-30
DEV00010601,CUST000106,Windows,10.106.0.24,Trusted,2025-12-10
DEV00010602,CUST000106,Windows,10.106.1.97,Trusted,2025-11-18
DEV00010701,CUST000107,ATM,10.107.0.235,Trusted,2024-07-15
DEV00010801,CUST000108,Windows,10.108.0.106,Trusted,2024-07-04
DEV00010802,CUST000108,iOS,10.108.1.190,Trusted,2026-01-15
DEV00010901,CUST000109,ATM,10.109.0.44,Known,2025-08-11
DEV00010902,CUST000109,iOS,10.109.1.185,New,2025-07-27
DEV00011001,CUST000110,ATM,10.110.0.96,Trusted,2024-05-09
DEV00011002,CUST000110,POS,10.110.1.234,New,2024-03-27
DEV00011003,CUST000110,ATM,10.110.2.5,Trusted,2024-08-05
DEV00011101,CUST000111,iOS,10.111.0.62,Trusted,2024-05-07
DEV00011102,CUST000111,POS,10.111.1.65,Known,2025-05-03
DEV00011103,CUST000111,ATM,10.111.2.21,Known,2024-12-12
DEV00011201,CUST000112,Android,10.112.0.128,New,2024-04-11
DEV00011301,CUST000113,Android,10.113.0.46,Known,2026-01-15
DEV00011302,CUST000113,iOS,10.113.1.151,Trusted,2023-12-23
DEV00011303,CUST000113,ATM,10.113.2.238,Trusted,2025-03-31
DEV00011401,CUST000114,Android,10.114.0.112,Trusted,2025-11-15
DEV00011501,CUST000115,ATM,10.115.0.22,Known,2025-05-24
DEV00011502,CUST000115,Android,10.115.1.22,Known,2025-08-27
DEV00011503,CUST000115,ATM,10.115.2.183,Trusted,2024-01-05
DEV00011601,CUST000116,POS,10.116.0.24,Known,2025-01-02
DEV00011602,CUST000116,Android,10.116.1.75,New,2024-12-30
DEV00011701,CUST000117,ATM,10.117.0.71,New,2025-03-31
DEV00011801,CUST000118,Windows,10.118.0.113,Known,2024-11-17
DEV00011802,CUST000118,POS,10.118.1.35,Known,2025-03-09
DEV00011901,CUST000119,ATM,10.119.0.94,Trusted,2024-07-03
DEV00011902,CUST000119,iOS,10.119.1.152,Trusted,2024-03-04
DEV00012001,CUST000120,ATM,10.120.0.203,New,2025-11-17
DEV00012101,CUST000121,iOS,10.121.0.166,Trusted,2024-07-04
DEV00012102,CUST000121,ATM,10.121.1.248,Known,2024-11-17
DEV00012201,CUST000122,Android,10.122.0.76,New,2025-11-05
DEV00012202,CUST000122,Android,10.122.1.213,Trusted,2025-02-09
DEV00012301,CUST000123,iOS,10.123.0.239,Trusted,2024-08-21
DEV00012401,CUST000124,ATM,10.124.0.100,Trusted,2024-02-10
DEV00012402,CUST000124,iOS,10.124.1.53,Known,2023-12-23
DEV00012403,CUST000124,Android,10.124.2.148,Trusted,2024-07-31
DEV00012501,CUST000125,POS,10.125.0.45,Known,2024-05-12
DEV00012502,CUST000125,POS,10.125.1.22,Trusted,2025-03-17
DEV00012601,CUST000126,Windows,10.126.0.36,Trusted,2025-03-15
DEV00012602,CUST000126,ATM,10.126.1.159,Trusted,2025-01-29
DEV00012701,CUST000127,Android,10.127.0.204,Trusted,2025-04-07
DEV00012702,CUST000127,Android,10.127.1.71,Trusted,2024-07-30
DEV00012703,CUST000127,Windows,10.127.2.44,New,2024-07-01
DEV00012801,CUST000128,Android,10.128.0.189,Trusted,2025-04-02
DEV00012802,CUST000128,Android,10.128.1.116,Known,2025-02-09
DEV00012901,CUST000129,Android,10.129.0.146,Known,2024-08-04
DEV00013001,CUST000130,Windows,10.130.0.161,New,2025-01-12
DEV00013002,CUST000130,ATM,10.130.1.20,Trusted,2024-12-15
DEV00013003,CUST000130,POS,10.130.2.192,Known,2024-02-20
DEV00013101,CUST000131,iOS,10.131.0.248,New,2025-06-29
DEV00013102,CUST000131,ATM,10.131.1.69,Known,2025-04-16
DEV00013201,CUST000132,Windows,10.132.0.171,Trusted,2025-12-09
DEV00013301,CUST000133,ATM,10.133.0.178,Trusted,2024-09-29
DEV00013401,CUST000134,Android,10.134.0.157,Trusted,2024-11-07
DEV00013402,CUST000134,Windows,10.134.1.185,Trusted,2024-04-28
DEV00013403,CUST000134,iOS,10.134.2.236,New,2024-05-11
DEV00013501,CUST000135,POS,10.135.0.154,Known,2023-11-26
DEV00013601,CUST000136,iOS,10.136.0.128,Trusted,2024-08-09
DEV00013701,CUST000137,Android,10.137.0.68,Trusted,2025-12-22
DEV00013801,CUST000138,Android,10.138.0.131,Trusted,2025-08-25
DEV00013802,CUST000138,POS,10.138.1.84,New,2024-06-10
DEV00013901,CUST000139,Android,10.139.0.42,New,2025-02-10
DEV00014001,CUST000140,Android,10.140.0.68,Trusted,2024-09-10
DEV00014002,CUST000140,ATM,10.140.1.131,Known,2025-12-06
DEV00014003,CUST000140,ATM,10.140.2.220,Trusted,2025-01-20
DEV00014101,CUST000141,Windows,10.141.0.64,New,2024-01-25
DEV00014201,CUST000142,Windows,10.142.0.84,Trusted,2024-07-14
DEV00014202,CUST000142,ATM,10.142.1.3,Known,2025-07-10
DEV00014301,CUST000143,iOS,10.143.0.139,Known,2024-04-20
DEV00014401,CUST000144,iOS,10.144.0.230,New,2024-02-14
DEV00014501,CUST000145,Windows,10.145.0.238,New,2024-02-14
DEV00014502,CUST000145,Windows,10.145.1.82,New,2025-04-28
DEV00014601,CUST000146,ATM,10.146.0.68,Trusted,2025-10-31
DEV00014602,CUST000146,iOS,10.146.1.207,Known,2024-02-10
DEV00014701,CUST000147,POS,10.147.0.192,Trusted,2025-10-27
DEV00014702,CUST000147,ATM,10.147.1.27,Trusted,2025-09-29
DEV00014801,CUST000148,ATM,10.148.0.208,Trusted,2025-10-29
DEV00014901,CUST000149,Windows,10.149.0.115,Trusted,2025-12-27
DEV00014902,CUST000149,POS,10.149.1.159,Trusted,2024-04-09
DEV00015001,CUST000150,POS,10.150.0.201,New,2025-02-13
DEV00015002,CUST000150,POS,10.150.1.129,Known,2024-12-30
DEV00015101,CUST000151,iOS,10.151.0.69,Trusted,2023-12-11
DEV00015201,CUST000152,iOS,10.152.0.145,Trusted,2024-09-14
DEV00015202,CUST000152,POS,10.152.1.80,Trusted,2024-09-16
DEV00015203,CUST000152,Android,10.152.2.24,Trusted,2025-06-07
DEV00015301,CUST000153,POS,10.153.0.181,Trusted,2023-12-01
DEV00015401,CUST000154,POS,10.154.0.178,Known,2025-06-17
DEV00015501,CUST000155,iOS,10.155.0.85,Trusted,2025-06-02
DEV00015502,CUST000155,Windows,10.155.1.252,Known,2025-08-13
DEV00015601,CUST000156,ATM,10.156.0.188,New,2025-08-14
DEV00015602,CUST000156,ATM,10.156.1.127,New,2025-02-06
DEV00015701,CUST000157,Android,10.157.0.88,Trusted,2025-01-12
DEV00015801,CUST000158,Windows,10.158.0.53,Trusted,2024-12-08
DEV00015901,CUST000159,Android,10.159.0.76,New,2025-07-11
DEV00015902,CUST000159,Android,10.159.1.7,Trusted,2025-08-10
DEV00016001,CUST000160,ATM,10.160.0.12,Known,2024-11-07
DEV00016101,CUST000161,POS,10.161.0.108,New,2024-06-24
DEV00016102,CUST000161,iOS,10.161.1.122,Known,2025-11-12
DEV00016201,CUST000162,Android,10.162.0.109,Trusted,2024-03-03
DEV00016301,CUST000163,POS,10.163.0.151,New,2025-10-08
DEV00016401,CUST000164,ATM,10.164.0.147,New,2025-12-24
DEV00016402,CUST000164,iOS,10.164.1.71,New,2025-09-06
DEV00016501,CUST000165,Windows,10.165.0.72,New,2024-02-19
DEV00016502,CUST000165,Android,10.165.1.249,Trusted,2025-09-16
DEV00016601,CUST000166,Android,10.166.0.132,Trusted,2025-11-25
DEV00016602,CUST000166,Windows,10.166.1.182,New,2025-09-15
DEV00016701,CUST000167,Android,10.167.0.62,Known,2024-09-18
DEV00016801,CUST000168,iOS,10.168.0.220,Trusted,2024-04-09
DEV00016802,CUST000168,iOS,10.168.1.174,Trusted,2025-05-01
DEV00016803,CUST000168,ATM,10.168.2.132,Trusted,2023-11-24
DEV00016901,CUST000169,ATM,10.169.0.65,Trusted,2024-10-11
DEV00016902,CUST000169,Windows,10.169.1.174,New,2024-06-12
DEV00017001,CUST000170,Windows,10.170.0.49,Trusted,2024-08-20
DEV00017002,CUST000170,iOS,10.170.1.231,Trusted,2024-05-27
DEV00017101,CUST000171,ATM,10.171.0.233,Known,2024-08-30
DEV00017102,CUST000171,Windows,10.171.1.217,Trusted,2024-03-29
DEV00017103,CUST000171,POS,10.171.2.47,Known,2025-10-24
DEV00017201,CUST000172,Windows,10.172.0.67,Known,2024-10-14
DEV00017202,CUST000172,Android,10.172.1.121,Trusted,2024-04-22
DEV00017301,CUST000173,ATM,10.173.0.253,New,2025-09-07
DEV00017302,CUST000173,Windows,10.173.1.221,Trusted,2023-11-26
DEV00017401,CUST000174,ATM,10.174.0.163,New,2024-12-14
DEV00017402,CUST000174,ATM,10.174.1.248,New,2025-01-04
DEV00017403,CUST000174,Android,10.174.2.10,Trusted,2024-01-14
DEV00017501,CUST000175,POS,10.175.0.151,Known,2025-08-13
DEV00017502,CUST000175,Android,10.175.1.211,Trusted,2025-04-01
DEV00017601,CUST000176,iOS,10.176.0.58,Trusted,2025-06-29
DEV00017701,CUST000177,Android,10.177.0.107,New,2025-01-07
DEV00017801,CUST000178,POS,10.178.0.31,Known,2025-10-07
DEV00017802,CUST000178,Android,10.178.1.128,Trusted,2024-05-18
DEV00017803,CUST000178,iOS,10.178.2.200,Known,2024-08-14
DEV00017901,CUST000179,iOS,10.179.0.244,Trusted,2023-11-25
DEV00017902,CUST000179,POS,10.179.1.20,Trusted,2025-05-14
DEV00018001,CUST000180,Android,10.180.0.219,Trusted,2024-03-23
DEV00018101,CUST000181,iOS,10.181.0.29,Trusted,2024-02-19
DEV00018102,CUST000181,Android,10.181.1.252,Trusted,2025-10-17
DEV00018201,CUST000182,ATM,10.182.0.113,Trusted,2025-11-28
DEV00018301,CUST000183,Windows,10.183.0.170,New,2025-09-01
DEV00018302,CUST000183,POS,10.183.1.229,Trusted,2026-01-20
DEV00018401,CUST000184,ATM,10.184.0.206,New,2025-11-02
DEV00018402,CUST000184,ATM,10.184.1.115,Known,2025-10-02
DEV00018501,CUST000185,iOS,10.185.0.217,New,2025-02-26
DEV00018601,CUST000186,Android,10.186.0.12,Trusted,2024-09-14
DEV00018602,CUST000186,iOS,10.186.1.211,New,2025-10-14
DEV00018701,CUST000187,POS,10.187.0.35,New,2026-01-27
DEV00018702,CUST000187,POS,10.187.1.189,Trusted,2024-07-14
DEV00018703,CUST000187,ATM,10.187.2.215,New,2024-08-29
DEV00018801,CUST000188,Windows,10.188.0.116,Trusted,2025-09-12
DEV00018802,CUST000188,ATM,10.188.1.155,Known,2024-02-13
DEV00018901,CUST000189,Windows,10.189.0.182,Trusted,2023-12-14
DEV00018902,CUST000189,Windows,10.189.1.144,New,2024-06-14
DEV00018903,CUST000189,POS,10.189.2.242,New,2024-03-12
DEV00019001,CUST000190,Android,10.190.0.177,Known,2025-07-07
DEV00019101,CUST000191,ATM,10.191.0.245,Known,2024-07-15
DEV00019102,CUST000191,Android,10.191.1.4,Known,2025-07-08
DEV00019201,CUST000192,Android,10.192.0.48,Trusted,2024-01-10
DEV00019301,CUST000193,Windows,10.193.0.19,Known,2024-08-11
DEV00019302,CUST000193,iOS,10.193.1.245,Trusted,2024-08-16
DEV00019303,CUST000193,Android,10.193.2.202,Trusted,2024-12-02
DEV00019401,CUST000194,iOS,10.194.0.232,Trusted,2025-12-22
DEV00019402,CUST000194,Windows,10.194.1.98,Trusted,2025-01-01
DEV00019501,CUST000195,Android,10.195.0.43,Trusted,2024-04-30
DEV00019601,CUST000196,ATM,10.196.0.184,Known,2025-12-24
DEV00019701,CUST000197,POS,10.197.0.2,Trusted,2023-12-19
DEV00019801,CUST000198,iOS,10.198.0.137,Trusted,2025-09-14
DEV00019802,CUST000198,ATM,10.198.1.204,Known,2024-04-22
DEV00019901,CUST000199,iOS,10.199.0.106,Trusted,2025-08-20
DEV00019902,CUST000199,iOS,10.199.1.57,Known,2025-07-17
DEV00020001,CUST000200,POS,10.200.0.125,Known,2025-01-31
DEV00020101,CUST000201,Windows,10.201.0.246,New,2025-08-12
DEV00020102,CUST000201,Android,10.201.1.81,Trusted,2025-06-19
DEV00020201,CUST000202,POS,10.202.0.51,Known,2024-01-11
DEV00020301,CUST000203,iOS,10.203.0.94,New,2025-06-17
DEV00020302,CUST000203,POS,10.203.1.188,Known,2025-09-16
DEV00020401,CUST000204,iOS,10.204.0.189,New,2025-01-29
DEV00020402,CUST000204,Android,10.204.1.57,New,2025-06-08
DEV00020403,CUST000204,Android,10.204.2.68,Known,2025-06-06
DEV00020501,CUST000205,POS,10.205.0.168,Trusted,2024-08-20
DEV00020502,CUST000205,Windows,10.205.1.97,Trusted,2024-08-21
DEV00020601,CUST000206,iOS,10.206.0.93,Trusted,2024-03-26
DEV00020701,CUST000207,iOS,10.207.0.67,Trusted,2024-08-20
DEV00020801,CUST000208,ATM,10.208.0.154,Trusted,2024-06-14
DEV00020901,CUST000209,POS,10.209.0.176,New,2025-08-31
DEV00020902,CUST000209,POS,10.209.1.25,Trusted,2024-10-01
DEV00020903,CUST000209,POS,10.209.2.154,Trusted,2024-08-05
DEV00021001,CUST000210,ATM,10.210.0.203,New,2025-02-07
DEV00021101,CUST000211,Android,10.211.0.134,Trusted,2025-01-12
DEV00021102,CUST000211,iOS,10.211.1.177,Known,2024-12-09
DEV00021103,CUST000211,Windows,10.211.2.28,Trusted,2024-11-21
DEV00021201,CUST000212,POS,10.212.0.124,Known,2025-03-23
DEV00021202,CUST000212,POS,10.212.1.89,New,2024-01-09
DEV00021203,CUST000212,iOS,10.212.2.219,Trusted,2023-12-28
DEV00021301,CUST000213,Android,10.213.0.211,Trusted,2024-10-06
DEV00021401,CUST000214,ATM,10.214.0.113,Trusted,2025-07-09
DEV00021501,CUST000215,Windows,10.215.0.172,New,2024-12-12
DEV00021502,CUST000215,POS,10.215.1.52,Trusted,2024-01-08
DEV00021601,CUST000216,Android,10.216.0.67,Trusted,2024-12-11
DEV00021602,CUST000216,POS,10.216.1.28,Trusted,2024-09-03
DEV00021603,CUST000216,Windows,10.216.2.88,Trusted,2024-08-24
DEV00021701,CUST000217,Android,10.217.0.98,Trusted,2024-03-09
DEV00021702,CUST000217,iOS,10.217.1.205,Known,2024-12-05
DEV00021801,CUST000218,iOS,10.218.0.229,Known,2025-07-28
