case_id,alert_id,customer_id,opened_ts,closed_ts,case_status,priority,investigator_id,disposition,exposure_inr,confirmed_loss_inr,case_category
CASE0000042,ALT00000164,CUST000964,2026-02-18 03:26:51,2026-02-20 14:26:51,Closed,Medium,INV002,False Positive,821.69,0,Merchant abuse
CASE0000043,ALT00000165,CUST000620,2026-02-18 05:05:18,,Investigating,Medium,INV001,Under Investigation,5046.74,0,UPI scam
CASE0000044,ALT00000166,CUST001040,2026-02-18 13:28:39,,Investigating,Medium,INV002,Under Investigation,2270.83,0,UPI scam
CASE0000045,ALT00000169,CUST000830,2026-02-19 05:09:08,,Investigating,Medium,INV001,Under Investigation,2875.79,0,Mule account
CASE0000046,ALT00000175,CUST000296,2026-02-20 04:53:45,2026-02-20 17:53:45,Closed,Medium,INV001,Confirmed Fraud,1539.52,1085.8,Merchant abuse
CASE0000047,ALT00000177,CUST001236,2026-02-20 06:10:46,2026-02-20 14:10:46,Closed,Medium,INV005,Customer Verified,3701.61,0,Other
CASE0000048,ALT00000190,CUST001479,2026-02-21 06:41:18,,Investigating,Medium,INV002,Under Investigation,2416.0,0,Merchant abuse
CASE0000049,ALT00000196,CUST000141,2026-02-22 03:26:09,,Investigating,Medium,INV004,Under Investigation,295.28,0,Merchant abuse
CASE0000050,ALT00000198,CUST000450,2026-02-22 04:55:04,,Investigating,Medium,INV001,Under Investigation,2306.23,0,Card misuse
CASE0000051,ALT00000203,CUST000620,2026-02-23 02:47:41,2026-02-26 00:47:41,Closed,Medium,INV003,Pending Evidence,11548.12,0,Merchant abuse
CASE0000052,ALT00000207,CUST000888,2026-02-23 05:03:15,2026-02-25 01:03:15,Closed,Medium,INV005,Confirmed Fraud,275.89,139.3,Merchant abuse
CASE0000053,ALT00000212,CUST000493,2026-02-24 04:58:54,,Investigating,Medium,INV005,Under Investigation,1269.64,0,Mule account
CASE0000054,ALT00000215,CUST000792,2026-02-24 10:31:07,2026-02-26 13:31:07,Closed,Medium,INV001,Confirmed Fraud,351234.45,265005.6,Credential compromise
CASE0000055,ALT00000219,CUST001631,2026-02-25 01:16:45,2026-02-28 00:16:45,Closed,Medium,INV003,False Positive,3470.76,0,Mule account
CASE0000056,ALT00000221,CUST000159,2026-02-25 11:34:24,2026-02-27 06:34:24,Closed,High,INV005,Confirmed Fraud,1408687.66,517012.8,Merchant abuse
CASE0000057,ALT00000229,CUST000918,2026-02-26 14:37:53,2026-02-27 08:37:53,Closed,Medium,INV003,False Positive,422484.54,0,Mule account
CASE0000058,ALT00000231,CUST001300,2026-02-26 23:51:36,,Investigating,Medium,INV004,Under Investigation,179.88,0,Credential compromise
CASE0000059,ALT00000232,CUST000193,2026-02-27 01:56:30,,Investigating,Medium,INV001,Under Investigation,3944.36,0,Merchant abuse
CASE0000060,ALT00000233,CUST000232,2026-02-27 03:26:09,2026-03-01 06:26:09,Closed,Medium,INV003,Confirmed Fraud,4546.33,3854.07,Credential compromise
CASE0000061,ALT00000237,CUST000987,2026-02-27 23:26:13,2026-03-01 09:26:13,Closed,Medium,INV002,Customer Verified,18.8,0,Card misuse
CASE0000062,ALT00000238,CUST001552,2026-02-28 02:12:34,2026-02-28 03:12:34,Closed,Medium,INV001,Pending Evidence,2512.51,0,Credential compromise
CASE0000063,ALT00000240,CUST001843,2026-02-28 03:31:41,2026-02-28 13:31:41,Closed,Medium,INV004,Customer Verified,8652.72,0,Merchant abuse
CASE0000064,ALT00000245,CUST000687,2026-02-28 05:05:45,2026-03-02 22:05:45,Closed,Medium,INV004,Customer Verified,330619.16,0,Mule account
CASE0000065,ALT00000251,CUST000795,2026-02-28 21:49:58,,Investigating,Medium,INV003,Under Investigation,183173.8,0,UPI scam
CASE0000066,ALT00000252,CUST000787,2026-02-28 20:17:17,,Investigating,Medium,INV003,Under Investigation,348132.78,0,Other
CASE0000067,ALT00000254,CUST000629,2026-02-28 21:52:13,2026-03-01 12:52:13,Closed,Medium,INV003,Pending Evidence,776.84,0,Other
CASE0000068,ALT00000257,CUST001242,2026-03-01 02:59:40,2026-03-03 12:59:40,Closed,Medium,INV001,Confirmed Fraud,2382.05,1264.39,Mule account
CASE0000069,ALT00000259,CUST000515,2026-03-01 13:34:33,2026-03-02 12:34:33,Closed,Medium,INV001,Customer Verified,662.03,0,Card misuse
CASE0000070,ALT00000260,CUST000016,2026-03-01 15:13:10,2026-03-04 00:13:10,Closed,Medium,INV002,Pending Evidence,240226.56,0,Card misuse
CASE0000071,ALT00000265,CUST000644,2026-03-02 02:50:59,,Investigating,Medium,INV003,Under Investigation,1461.89,0,Card misuse
CASE0000072,ALT00000266,CUST000458,2026-03-02 03:36:10,,Investigating,Medium,INV001,Under Investigation,1272207.56,0,Credential compromise
CASE0000073,ALT00000267,CUST000144,2026-03-02 04:17:59,2026-03-04 13:17:59,Closed,Medium,INV002,False Positive,5975.39,0,Merchant abuse
CASE0000074,ALT00000268,CUST000944,2026-03-02 05:20:28,,Investigating,Medium,INV005,Under Investigation,6506.43,0,Credential compromise
CASE0000075,ALT00000276,CUST001227,2026-03-03 03:07:32,2026-03-06 02:07:32,Closed,Critical,INV002,Customer Verified,5966.81,0,Mule account
CASE0000076,ALT00000277,CUST001729,2026-03-03 04:00:38,,Investigating,Medium,INV003,Under Investigation,3195.84,0,Mule account
CASE0000077,ALT00000279,CUST000296,2026-03-03 06:21:13,2026-03-04 15:21:13,Closed,Critical,INV005,Confirmed Fraud,36134.77,10623.59,Card misuse
CASE0000078,ALT00000281,CUST000455,2026-03-03 08:34:18,,Investigating,Medium,INV001,Under Investigation,65.43,0,UPI scam
CASE0000079,ALT00000282,CUST001887,2026-03-03 08:04:31,2026-03-05 01:04:31,Closed,Medium,INV001,Pending Evidence,239.32,0,Merchant abuse
CASE0000080,ALT00000285,CUST001382,2026-03-03 15:17:05,2026-03-06 00:17:05,Closed,High,INV004,False Positive,309164.95,0,Card misuse
CASE0000081,ALT00000287,CUST000454,2026-03-03 21:49:02,2026-03-06 05:49:02,Closed,Medium,INV005,Confirmed Fraud,49238.62,32630.83,Card misuse
CASE0000082,ALT00000290,CUST001652,2026-03-04 02:47:43,,Investigating,Medium,INV004,Under Investigation,3138.66,0,Card misuse
CASE0000083,ALT00000291,CUST000965,2026-03-04 03:02:06,2026-03-06 07:02:06,Closed,Medium,INV005,Customer Verified,1430953.61,0,Other
CASE0000084,ALT00000293,CUST001534,2026-03-04 14:13:41,2026-03-05 19:13:41,Closed,Medium,INV004,Pending Evidence,51176.26,0,Card misuse
CASE0000085,ALT00000296,CUST001275,2026-03-05 04:02:34,2026-03-05 20:02:34,Closed,Medium,INV003,Pending Evidence,15666.74,0,Mule account
CASE0000086,ALT00000301,CUST001922,2026-03-05 05:22:20,,Investigating,Medium,INV003,Under Investigation,2337.86,0,Card misuse
CASE0000087,ALT00000306,CUST001477,2026-03-06 13:46:22,2026-03-08 03:46:22,Closed,Medium,INV001,Confirmed Fraud,1407.53,1210.83,Mule account
CASE0000088,ALT00000308,CUST001383,2026-03-06 15:52:24,,Investigating,Medium,INV003,Under Investigation,1252.83,0,Card misuse
CASE0000089,ALT00000310,CUST000416,2026-03-07 00:34:02,,Investigating,Medium,INV002,Under Investigation,4290.25,0,Card misuse
CASE0000090,ALT00000314,CUST000446,2026-03-07 05:05:40,2026-03-09 17:05:40,Closed,Medium,INV002,Customer Verified,2310.22,0,Credential compromise
CASE0000091,ALT00000315,CUST000219,2026-03-07 09:02:53,,Investigating,Medium,INV001,Under Investigation,382.41,0,Other
CASE0000092,ALT00000319,CUST001423,2026-03-08 03:31:47,,Investigating,Medium,INV005,Under Investigation,5478.35,0,UPI scam
CASE0000093,ALT00000325,CUST000097,2026-03-08 16:43:29,,Investigating,Medium,INV003,Under Investigation,229624.4,0,UPI scam
CASE0000094,ALT00000329,CUST000084,2026-03-09 02:07:44,,Investigating,Medium,INV002,Under Investigation,5036.89,0,Merchant abuse
CASE0000095,ALT00000336,CUST000232,2026-03-09 05:52:09,2026-03-09 16:52:09,Closed,Medium,INV001,Customer Verified,1167.65,0,Credential compromise
CASE0000096,ALT00000341,CUST000365,2026-03-09 14:52:12,,Investigating,Medium,INV003,Under Investigation,188741.31,0,Other
CASE0000097,ALT00000346,CUST000127,2026-03-10 00:35:05,,Investigating,Medium,INV005,Under Investigation,130615.71,0,UPI scam
CASE0000098,ALT00000349,CUST001866,2026-03-10 03:26:15,,Investigating,Medium,INV002,Under Investigation,22451.37,0,UPI scam
CASE0000099,ALT00000351,CUST001734,2026-03-10 03:51:37,2026-03-11 02:51:37,Closed,High,INV001,Customer Verified,536.09,0,Other
CASE0000100,ALT00000354,CUST001464,2026-03-10 07:59:52,,Investigating,Medium,INV004,Under Investigation,971.46,0,Credential compromise
CASE0000101,ALT00000357,CUST001804,2026-03-11 00:03:46,,Investigating,High,INV004,Under Investigation,18862.01,0,Card misuse
CASE0000102,ALT00000364,CUST001641,2026-03-11 19:55:09,2026-03-14 05:55:09,Closed,Critical,INV002,Customer Verified,61153.81,0,Merchant abuse
CASE0000103,ALT00000372,CUST000107,2026-03-12 15:29:52,,Investigating,Medium,INV001,Under Investigation,494716.29,0,Credential compromise
CASE0000104,ALT00000373,CUST001179,2026-03-12 22:45:35,,Investigating,Medium,INV002,Under Investigation,96.73,0,Merchant abuse
CASE0000105,ALT00000377,CUST001447,2026-03-13 04:28:24,2026-03-15 11:28:24,Closed,Medium,INV002,Pending Evidence,2943.37,0,Mule account
CASE0000106,ALT00000381,CUST001244,2026-03-13 11:40:19,,Investigating,Medium,INV001,Under Investigation,136.97,0,Merchant abuse
CASE0000107,ALT00000385,CUST000163,2026-03-14 01:09:50,,Investigating,Medium,INV001,Under Investigation,6828.92,0,Card misuse
CASE0000108,ALT00000391,CUST000809,2026-03-14 16:01:45,,Investigating,Medium,INV003,Under Investigation,67854.66,0,Card misuse
CASE0000109,ALT00000396,CUST001798,2026-03-15 08:27:38,,Investigating,Medium,INV001,Under Investigation,411.18,0,Merchant abuse
CASE0000110,ALT00000402,CUST000044,2026-03-16 01:59:19,,Investigating,Medium,INV005,Under Investigation,1610.16,0,Credential compromise
CASE0000111,ALT00000406,CUST000570,2026-03-16 06:28:50,2026-03-18 13:28:50,Closed,Medium,INV005,False Positive,555409.81,0,Credential compromise
CASE0000112,ALT00000409,CUST000305,2026-03-16 18:12:58,,Investigating,Medium,INV002,Under Investigation,518.56,0,Merchant abuse
CASE0000113,ALT00000411,CUST000475,2026-03-17 00:43:30,2026-03-18 05:43:30,Closed,Medium,INV001,Confirmed Fraud,427173.44,317989.08,Mule account
CASE0000114,ALT00000413,CUST000409,2026-03-17 02:57:32,,Investigating,Medium,INV005,Under Investigation,6349.49,0,UPI scam
CASE0000115,ALT00000417,CUST000569,2026-03-17 10:03:42,2026-03-18 15:03:42,Closed,Medium,INV005,Customer Verified,112.58,0,UPI scam
CASE0000116,ALT00000421,CUST000202,2026-03-17 22:09:29,2026-03-18 19:09:29,Closed,Medium,INV004,False Positive,977.32,0,Mule account
CASE0000117,ALT00000423,CUST000166,2026-03-18 03:56:07,,Investigating,Medium,INV001,Under Investigation,2401.42,0,Credential compromise
CASE0000118,ALT00000430,CUST001160,2026-03-19 01:11:39,,Investigating,Medium,INV005,Under Investigation,3315.98,0,Credential compromise
CASE0000119,ALT00000432,CUST000636,2026-03-19 02:29:23,2026-03-21 10:29:23,Closed,Medium,INV005,Confirmed Fraud,3792.16,3235.74,Mule account
CASE0000120,ALT00000441,CUST000949,2026-03-20 03:22:52,2026-03-21 17:22:52,Closed,Medium,INV005,Confirmed Fraud,8854.14,3645.03,Mule account
CASE0000121,ALT00000446,CUST001951,2026-03-20 17:26:58,,Investigating,Medium,INV001,Under Investigation,142.15,0,Other
CASE0000122,ALT00000448,CUST001199,2026-03-21 00:01:55,,Investigating,Medium,INV005,Under Investigation,300052.66,0,Other
CASE0000123,ALT00000450,CUST001998,2026-03-21 03:53:36,,Investigating,Medium,INV005,Under Investigation,63108.69,0,Other
CASE0000124,ALT00000458,CUST001531,2026-03-22 03:52:34,2026-03-23 04:52:34,Closed,Medium,INV005,Customer Verified,930.66,0,Card misuse
CASE0000125,ALT00000464,CUST001911,2026-03-23 01:50:24,,Investigating,Medium,INV003,Under Investigation,1822.0,0,Card misuse
CASE0000126,ALT00000467,CUST000676,2026-03-23 05:34:23,2026-03-24 15:34:23,Closed,Medium,INV001,Customer Verified,1676.16,0,Credential compromise
CASE0000127,ALT00000468,CUST000391,2026-03-23 05:00:04,,Investigating,Medium,INV005,Under Investigation,4565.14,0,Other
CASE0000128,ALT00000472,CUST000566,2026-03-23 19:30:08,2026-03-26 19:30:08,Closed,High,INV003,Pending Evidence,290117.74,0,UPI scam
CASE0000129,ALT00000473,CUST000869,2026-03-23 19:38:04,,Investigating,Medium,INV002,Under Investigation,386523.4,0,Merchant abuse
CASE0000130,ALT00000478,CUST000796,2026-03-24 04:04:23,2026-03-27 00:04:23,Closed,Medium,INV005,Pending Evidence,6199.73,0,Merchant abuse
CASE0000131,ALT00000489,CUST000903,2026-03-25 16:02:10,,Investigating,Medium,INV002,Under Investigation,130552.86,0,Credential compromise
CASE0000132,ALT00000490,CUST001555,2026-03-26 00:23:22,,Investigating,Critical,INV003,Under Investigation,7885.33,0,Card misuse
CASE0000133,ALT00000491,CUST001959,2026-03-26 02:14:11,2026-03-29 00:14:11,Closed,Medium,INV001,Pending Evidence,3695.06,0,UPI scam
CASE0000134,ALT00000492,CUST001395,2026-03-26 02:20:48,2026-03-27 14:20:48,Closed,Medium,INV003,False Positive,4351.89,0,Merchant abuse
CASE0000135,ALT00000497,CUST000240,2026-03-26 02:55:04,,Investigating,Medium,INV001,Under Investigation,7256.23,0,Other
CASE0000136,ALT00000499,CUST000621,2026-03-26 03:18:26,2026-03-27 05:18:26,Closed,Medium,INV001,Customer Verified,3972.51,0,UPI scam
CASE0000137,ALT00000500,CUST001402,2026-03-26 05:57:06,,Investigating,Medium,INV003,Under Investigation,4586.99,0,UPI scam
CASE0000138,ALT00000508,CUST000621,2026-03-27 02:24:09,,Investigating,Medium,INV003,Under Investigation,8163.74,0,Card misuse
CASE0000139,ALT00000514,CUST001782,2026-03-28 03:03:49,,Investigating,Medium,INV001,Under Investigation,8843.73,0,Mule account
CASE0000140,ALT00000516,CUST000065,2026-03-28 04:24:12,2026-03-29 15:24:12,Closed,Medium,INV004,Customer Verified,260345.88,0,UPI scam
CASE0000141,ALT00000518,CUST000011,2026-03-28 05:01:15,,Investigating,Medium,INV005,Under Investigation,1097.22,0,Merchant abuse
CASE0000142,ALT00000519,CUST000461,2026-03-28 04:13:23,2026-03-29 11:13:23,Closed,Medium,INV003,Customer Verified,6853.46,0,Other
CASE0000143,ALT00000520,CUST000246,2026-03-28 08:36:33,2026-03-29 06:36:33,Closed,High,INV001,Pending Evidence,119531.49,0,Mule account
CASE0000144,ALT00000521,CUST001221,2026-03-28 09:07:18,,Investigating,Medium,INV004,Under Investigation,1511.44,0,Credential compromise
CASE0000145,ALT00000522,CUST000253,2026-03-28 17:47:32,2026-03-31 16:47:32,Closed,Medium,INV003,Pending Evidence,1072.23,0,Credential compromise
CASE0000146,ALT00000523,CUST001321,2026-03-28 20:57:07,,Investigating,Medium,INV003,Under Investigation,958.5,0,Mule account
CASE0000147,ALT00000529,CUST001819,2026-03-29 07:41:26,,Investigating,Critical,INV001,Under Investigation,6352.02,0,UPI scam
CASE0000148,ALT00000530,CUST001048,2026-03-29 10:00:19,2026-03-31 14:00:19,Closed,Medium,INV001,Pending Evidence,95168.99,0,Credential compromise
CASE0000149,ALT00000534,CUST000515,2026-03-29 15:24:00,,Investigating,Medium,INV001,Under Investigation,175349.87,0,Card misuse
CASE0000150,ALT00000536,CUST000274,2026-03-30 00:03:50,2026-03-30 09:03:50,Closed,Medium,INV002,Confirmed Fraud,66845.48,24837.51,Other
CASE0000151,ALT00000539,CUST001958,2026-03-30 03:19:10,,Investigating,Medium,INV001,Under Investigation,7453.91,0,UPI scam
CASE0000152,ALT00000545,CUST000172,2026-03-30 17:49:55,,Investigating,Medium,INV003,Under Investigation,671.91,0,UPI scam
CASE0000153,ALT00000547,CUST001146,2026-03-31 01:41:50,2026-04-01 06:41:50,Closed,Medium,INV004,False Positive,1701.81,0,Other
CASE0000154,ALT00000550,CUST000232,2026-03-31 02:01:29,2026-04-01 21:01:29,Closed,Medium,INV003,Customer Verified,1544.18,0,UPI scam
CASE0000155,ALT00000552,CUST000315,2026-03-31 06:24:29,,Investigating,Medium,INV003,Under Investigation,71073.93,0,Other
CASE0000156,ALT00000556,CUST000673,2026-03-31 14:38:32,,Investigating,Medium,INV003,Under Investigation,37893.74,0,Merchant abuse
CASE0000157,ALT00000557,CUST000118,2026-03-31 16:42:14,2026-04-02 00:42:14,Closed,Medium,INV001,Customer Verified,782.75,0,Card misuse
CASE0000158,ALT00000560,CUST000224,2026-04-01 01:54:04,2026-04-03 05:54:04,Closed,Medium,INV003,Customer Verified,1516.92,0,UPI scam
CASE0000159,ALT00000561,CUST001481,2026-04-01 02:18:22,2026-04-02 23:18:22,Closed,Medium,INV002,Confirmed Fraud,3749.86,1041.32,Card misuse
CASE0000160,ALT00000569,CUST001755,2026-04-01 15:02:44,,Investigating,Medium,INV002,Under Investigation,581995.88,0,Credential compromise
CASE0000161,ALT00000570,CUST001898,2026-04-01 16:04:17,,Investigating,Medium,INV004,Under Investigation,4364.67,0,UPI scam
CASE0000162,ALT00000571,CUST000153,2026-04-01 20:09:35,2026-04-04 12:09:35,Closed,Medium,INV005,False Positive,80616.55,0,Other
CASE0000163,ALT00000576,CUST001799,2026-04-02 06:55:03,2026-04-04 15:55:03,Closed,Medium,INV002,Pending Evidence,1814.49,0,Credential compromise
CASE0000164,ALT00000581,CUST000971,2026-04-03 04:16:51,,Investigating,Critical,INV002,Under Investigation,2154.3,0,UPI scam
CASE0000165,ALT00000582,CUST000075,2026-04-03 07:36:17,,Investigating,Medium,INV003,Under Investigation,385505.69,0,Merchant abuse
CASE0000166,ALT00000595,CUST001438,2026-04-05 02:59:52,,Investigating,Medium,INV005,Under Investigation,9052.89,0,Card misuse
CASE0000167,ALT00000596,CUST001376,2026-04-05 04:35:13,2026-04-05 19:35:13,Closed,Medium,INV002,Confirmed Fraud,11064.82,9070.88,Merchant abuse
CASE0000168,ALT00000601,CUST001756,2026-04-06 02:16:00,,Investigating,Medium,INV003,Under Investigation,2250.78,0,Card misuse
CASE0000169,ALT00000604,CUST000473,2026-04-06 03:58:43,,Investigating,Medium,INV005,Under Investigation,972104.27,0,Mule account
CASE0000170,ALT00000605,CUST000377,2026-04-06 04:23:03,,Investigating,Medium,INV005,Under Investigation,1715.79,0,UPI scam
CASE0000171,ALT00000608,CUST000611,2026-04-06 13:07:12,,Investigating,Medium,INV004,Under Investigation,221566.63,0,Credential compromise
CASE0000172,ALT00000611,CUST001102,2026-04-07 01:25:30,2026-04-07 16:25:30,Closed,Medium,INV002,Customer Verified,535.54,0,Card misuse
CASE0000173,ALT00000613,CUST001701,2026-04-07 02:43:38,,Investigating,Medium,INV003,Under Investigation,21775.77,0,Card misuse
CASE0000174,ALT00000617,CUST000286,2026-04-07 05:21:11,,Investigating,Medium,INV001,Under Investigation,1418534.46,0,Card misuse
CASE0000175,ALT00000618,CUST001139,2026-04-07 06:05:50,2026-04-09 02:05:50,Closed,Critical,INV002,Pending Evidence,345037.36,0,Card misuse
CASE0000176,ALT00000619,CUST000682,2026-04-07 14:06:45,2026-04-09 01:06:45,Closed,Medium,INV005,Customer Verified,13.13,0,Mule account
CASE0000177,ALT00000620,CUST001562,2026-04-08 03:03:43,,Investigating,Medium,INV005,Under Investigation,2081.54,0,Merchant abuse
CASE0000178,ALT00000622,CUST001048,2026-04-08 03:36:38,2026-04-10 03:36:38,Closed,Medium,INV001,False Positive,10279.03,0,Other
CASE0000179,ALT00000624,CUST000350,2026-04-08 06:10:45,2026-04-10 04:10:45,Closed,Medium,INV002,Customer Verified,6177.72,0,Card misuse
CASE0000180,ALT00000638,CUST000692,2026-04-09 16:14:34,,Investigating,Medium,INV005,Under Investigation,199.04,0,Mule account
CASE0000181,ALT00000640,CUST001141,2026-04-10 01:41:10,,Investigating,Medium,INV002,Under Investigation,960.6,0,Credential compromise
CASE0000182,ALT00000641,CUST001725,2026-04-10 01:49:14,2026-04-10 17:49:14,Closed,Medium,INV004,False Positive,5363.07,0,Credential compromise
CASE0000183,ALT00000642,CUST000349,2026-04-10 01:32:09,2026-04-10 18:32:09,Closed,Medium,INV005,Confirmed Fraud,1871.02,1486.59,Merchant abuse
CASE0000184,ALT00000643,CUST001361,2026-04-10 02:59:49,,Investigating,Critical,INV001,Under Investigation,333391.81,0,Merchant abuse
CASE0000185,ALT00000645,CUST000582,2026-04-10 08:24:02,,Investigating,Medium,INV002,Under Investigation,554530.33,0,Merchant abuse
CASE0000186,ALT00000650,CUST001432,2026-04-11 00:06:11,2026-04-13 21:06:11,Closed,Medium,INV001,Confirmed Fraud,53233.06,37909.82,UPI scam
CASE0000187,ALT00000652,CUST000180,2026-04-11 02:55:07,,Investigating,Medium,INV003,Under Investigation,131045.2,0,Merchant abuse
CASE0000188,ALT00000653,CUST001874,2026-04-11 05:25:08,,Investigating,Medium,INV003,Under Investigation,913539.02,0,UPI scam
CASE0000189,ALT00000654,CUST001683,2026-04-11 05:51:03,2026-04-11 07:51:03,Closed,Medium,INV003,Confirmed Fraud,5100.71,2143.12,Credential compromise
CASE0000190,ALT00000660,CUST000949,2026-04-12 06:05:44,,Investigating,Medium,INV004,Under Investigation,2366.4,0,UPI scam
